ID Loja;Lojista;Cluster;Mundo;Responsável
14320;IMM;Internacional;Cauda Longa;Suporte
21063;Clube de Compras América;AAA;Cauda Longa;Marcella
23406;Digbest;Internacional;Cauda Longa;Suporte
11077;eFácil;AAA;Linha Branca;Anna Fagundes
10024;WEBFONES;AAA;Tecnologia;Ana Nunes
14738;Gazin;AAA;Móveis;Leonardo Karlik
11242;Rihappy;AAA;Cauda Longa;Ericka Silvestrini
10497;Multi-Ar;AAA;Linha Branca;Leonardo Karlik
10138;MegaMamute;AAA;Tecnologia;Anderson
10172;Mobly;AAA;Móveis;Eve
10412;OEMSHOP;A;Cauda Longa;Ana Pontes
12325;Orange;A;Cauda Longa;Suporte
11314;Loja do Alemão;A;Cauda Longa;decom
12037;Lojas Manica;A;Móveis;Suporte
13833;STR AR CONDICIONADO;AA;Cauda Longa;Ana Pontes
10082;PNEUSTORE;AAA;Cauda Longa;Patricia
10165;CASATEMA;AAA;Móveis;Eve
10190;Boleana.com;A;Cauda Longa;Suporte
10169;Gigantec;AAA;Tecnologia;Guga 
10898;TETRIX;AAA;Tecnologia;Ana Nunes
14245;Open Tronic;A;Cauda Longa;Suporte
14308;Techshop;A;Linha Branca;Anderson Santos
10086;POLISHOP;AAA;Linha Branca;Tatiana
11578;Mania Virtual;AAA;Tecnologia;Guga 
512;BEBESTORE;A;Móveis;Ana pontes
11506;PNEU FAST;A;Cauda Longa;Ana Pontes
11901;Ibyte;AAA;Tecnologia;Anderson
10740;Starhouse;AAA;Cauda Longa;Anna Fagundes
10734;Valdar Móveis;A;Móveis;Suporte
14694;KIKA MAGAZINE;A;Tecnologia;Ana pontes
14229;Daten;A;Cauda Longa;Ana Pontes
12127;SEPHA PERFUMARIA;A;Cauda Longa;Suporte
14423;Ezconet;AA;Cauda Longa;Ana Pontes
10428;Liberatti;A;Móveis;Suporte
14665;Sir Tecnologia;A;Linha Branca;Ana pontes
14777;LOJAS MEL;A;Cauda Longa;Suporte
10798;MadeiraMadeira;AAA;Móveis;Eve
12121;Girafa;AAA;Tecnologia;Tatiana
13612;Onofre Agora;AAA;Móveis;Ana Nunes
11053;Tricae;A;Móveis;Suporte
10744;Cissa Magazine;A;Tecnologia;Suporte
12343;CARIOCA CELULARES;A;Tecnologia;Suporte
10531;Sony Loja Oficial;AAA;Tecnologia;Ana Nunes
14551;Comprei é Meu;AAA;Móveis;Leonardo
10792;Centauro;A;Cauda Longa;Suporte
10605;Estrela10;A;Cauda Longa;Suporte
11320;SHOPLOKO;A;Cauda Longa;Ana Pontes
11127;Atual Shopping;AA;Cauda Longa;Decom
10098;ITARO;AAA;Cauda Longa;Patricia
10062;Mega Colchões;AA;Móveis;Eve
12319;Bee Fitness;A;Cauda Longa;Suporte
10791;Pozelar;AA;Móveis;Ana pontes
11487;SHOP DBS;A;Cauda Longa;Suporte
10768;Intersolução;AA;Tecnologia;Ana pontes
11122;Laranja.com;AA;Cauda Longa;Ana Pontes
12294;Schumann;AA;Móveis;Ana pontes
11296;netDECOR;AA;Móveis;Decom
11611;TECHCLUBE;A;Tecnologia;Suporte
10511;SUGGAR;AAA;Linha Branca;Ana pontes
14494;MULTILASER;AAA;Cauda Longa;Ana Nunes/Guga
12318;Ovelha Negra Musical;A;Cauda Longa;Suporte
14648;Leo Eletro;A;Cauda Longa;Suporte
10716;Gurivéio;A;Tecnologia;Suporte
14550;Mezzanine;AAA;Móveis;Eve
10150;Mpozenato;AA;Móveis;Ana pontes
12161;Continental Center;AAA;Linha Branca;Leonardo
11740;Restaurante Shop;A;Móveis;Suporte
13796;AMKG;A;Cauda Longa;Suporte
13790;Ambient Air;AA;Linha Branca;Ana pontes
11051;Tudo de Casa;A;Móveis;Suporte
11616;MEGASOARES;A;Móveis;Suporte
11023;ALBA eletrônicos;A;Tecnologia;Ana pontes
11781;MILANI SHOP MÓVEIS;A;Móveis;Ana pontes
12206;Shopmartins;AA;Móveis;Suporte
10604;NextBike;AA;Cauda Longa;Decom
10460;DBestShop;AA;Cauda Longa;Ana Pontes
12348;Refrirede;A;Cauda Longa;Suporte
10611;Imaginia;A;Linha Branca;Ana pontes
12006;BV MAGAZINE;A;Móveis;Ana pontes
11809;MainShop;AAA;Linha Branca;Ana pontes
11964;Shopinfo;AAA;Tecnologia;Guga 
11297;E-store;A;Cauda Longa;Ana Pontes
11217;Aquarelaeletro;AA;Cauda Longa;Ana Pontes
11790;Boomerangue;AAA;Cauda Longa;Marcella
10920;About Home;A;Móveis;Ana pontes
11921;MONSTERSTOK;AAA;Tecnologia;Guga 
10414;Clube do Lar;A;Linha Branca;Ana pontes
10895;Autourbano;A;Cauda Longa;Ana Pontes
10012;WOLLOKO;AAA;Cauda Longa;Erika Leme
10209;Adelo;AA;Cauda Longa;Ana Pontes
11271;Util Ferramentas;AAA;Cauda Longa;Ana Pontes 
11660;Colorsom;A;Cauda Longa;Ana Pontes
12129;SHOP63;A;Móveis;Suporte
10177;Foca Louca;A;Cauda Longa;Ana Pontes
11249;Kikos Fitness Store;AA;Cauda Longa;Ana Pontes
10084;PLAYTECH;AA;Cauda Longa;Ana Pontes
10637;Maxi Ferramentas;AAA;Móveis;Ana pontes
13977;Fenix Eletro Móveis;A;Móveis;Ana pontes
10469;Mix Network;A;Cauda Longa;Suporte
12028;ABMIDIA;A;Cauda Longa;Ana Pontes
10068;OFFICETOTALSHOP;AA;Tecnologia;Guga 
10564;Cirúrgica Express;AA;Cauda Longa;Ana Pontes
14009;Palácio das Ferramentas;AAA;Cauda Longa;João Gabriel
11459;WCT FITNESS;AAA;Cauda Longa;Felipe 
12221;MY SHOP BRASIL;A;Móveis;Ana pontes
10911;Rei da Oferta;A;Móveis;Ana pontes
10504;GLOBAL ELETRO;A;Cauda Longa;Suporte
11610;Centermobile;A;Tecnologia;Ana pontes
11657;Bololô;AA;Cauda Longa;Ana Pontes
11712;Premier Shop;A;Cauda Longa;Ana Pontes
11193;Matecki;A;Tecnologia;Ana pontes
10909;General Car;A;Cauda Longa;Ana Pontes
10152;Commerce Brasil;A;Cauda Longa;Ana Pontes
13599;POLO DA INFORMÁTICA;A;Tecnologia;Ana pontes
11352;G-FIRE Computadores;AA;Tecnologia;Ana pontes
10254;CJ Store;A;Cauda Longa;Ana Pontes
11596;RMS Áudioevídeo;A;Cauda Longa;Suporte
11764;BESTPLUS;AAA;Tecnologia;Marcella
11045;Casa da Máquina;A;Cauda Longa;Ana Pontes
10438;Cabeleza;A;Cauda Longa;Ana Pontes
10007;JOCAR;AA;Cauda Longa;Ana Pontes
11015;Big Stok;A;Móveis;Ana pontes
14704;Loja Oficial Casio;A;Cauda Longa;Ana Pontes
13600;CAVUCA;A;Tecnologia;Ana pontes
10147;Lazer & Vida;A;Cauda Longa;Suporte
14703;Loja Oficial Canon;A;Cauda Longa;Ana Pontes
14709;Loja Oficial Sennheiser;A;Cauda Longa;Ana Pontes
