idlojista,lojista,cluster,mundo,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,status_lojista,taxa_aprovacao
10121,Delgrani,A,Cauda Longa,9,9,7,7,2034.1600,1664.3100,ativo,0.81818048
12006,BV MAGAZINE,A,Móveis,124,128,84,81,122521.3000,66149.1400,ativo,0.53989910
14465,Bright,Setup,Cauda Longa,45,46,25,24,7408.9400,3607.2500,ativo,0.48687801
15254,Natural Fitness,A,Cauda Longa,166,186,150,131,39274.2400,23743.3700,ativo,0.60455326
19962,CONCORDIA INFORMÁTICA,A,Tecnologia,16,17,12,11,21579.5000,13564.0500,ativo,0.62856183
20268,Olimar Metais Sanitarios,A,Cauda Longa,46,57,36,29,7177.8000,4676.2000,ativo,0.65148096
21859,GTEK,A,Cauda Longa,3,3,0,0,771.9000,0.0000,ativo,0E-8
22412,Pacifico Ar Condicionado,A,Linha Branca,19,19,17,17,19649.9700,17577.6300,ativo,0.89453724
26767,Rafarillo,A,Cauda Longa,3,3,1,1,717.7000,234.2000,ativo,0.32632019
30988,Singola,A,Cauda Longa,1,1,0,0,148.9000,0.0000,ativo,0E-8
32304,Aumenta Venda,A,Cauda Longa,161,180,130,118,30373.2700,21885.4100,inativo,0.72054836
34878,VJCOMPANY,A,Cauda Longa,8,21,16,6,2225.2300,1669.4600,ativo,0.75024155
35450,JAPINHA ELETRO,Setup,Setup,22,27,12,11,2579.4800,854.2600,ativo,0.33117528
35868,Acer Brasil,Setup,Setup,14,14,6,6,66758.9000,22864.0600,ativo,0.34248707
36783,VERSAILLES DECORACAO E UTILIDADES,Setup,Cauda Longa,49,49,30,30,8919.3500,5380.1200,ativo,0.60319642
37297,TCHIBOLA COSMÉTICOS,Setup,Cauda Longa,1,6,6,1,103.5000,103.5000,ativo,1.00000000
37482,LEBRAVE,Setup,Cauda Longa,5,5,2,2,1235.0600,474.0300,ativo,0.38381131
39153,LUZ SHOPPING,Setup,Cauda Longa,37,51,36,29,3575.9700,2758.5200,ativo,0.77140468
40199,ATUAL SHOP,Setup,Cauda Longa,1,1,0,0,449.8000,0.0000,ativo,0E-8
40893,Pherfumaria,Setup,Cauda Longa,12,14,10,8,6348.1000,3287.3000,ativo,0.51783998
10898,TETRIX,AAA,Tecnologia,2227,2494,1238,1108,3285895.1500,1460527.6000,ativo,0.44448393
11121,WebContinental,AAA,Cauda Longa,8260,8788,6066,5673,5678354.7000,3375971.4600,ativo,0.59453339
14332,EQUIPACASA,A,Cauda Longa,14,38,23,11,1341.2500,1043.8700,ativo,0.77828145
14801,Formalivre,A,Móveis,18,20,13,11,6649.0000,4729.0000,ativo,0.71123477
20298,SHmagazine,A,Cauda Longa,30,36,25,21,4039.1900,2658.7100,ativo,0.65822851
32246,Casa Decora Enxovais,A,Cauda Longa,36,96,79,26,5950.9800,4153.0600,ativo,0.69787833
33141,Pick Dental,A,Cauda Longa,5,5,2,2,1021.3000,362.5000,ativo,0.35493978
