idlojista,idsku,dtpedidovenda,bandeira,lojista,cluster,mundo,descricao_produto,descricao_sku,qtd_sku,qtd_pedidos_colocados,qtd_itens_colocados,valorcolocado,qtd_pedidos_aprovados,qtd_itens_aprovados,valoraprovado,qtd_itens_enviados,valor_itens_enviados,qtd_itens_entregues,valor_itens_entregues,qtd_itens_cancelados,valor_itens_cancelados,qtd_itens_devolvidos,valor_itens_devolvidos,qtd_itens_atrasados,valor_itens_atrasados,taxa_aprovacao,data_atualizacao,year_partition,month_partition,day_partition
30976,11513186,2020-08-17,CASASBAHIA,10Estrela,AAA,Móveis,Painel de Cabeceira Casal Módena - Demóbile,Bege,3,3,3,310.9800,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0E-8,2020-09-23T10:29:41.796Z,2020,08,17
30976,12921649,2020-08-17,PONTOFRIO,10Estrela,AAA,Móveis,Guarda Roupa Solteiro 4 Portas 2 Gavetas,BRANCO,1,1,1,401.5600,1,1,401.5600,0,0.0000,1,401.5600,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
30976,3829496,2020-08-17,PONTOFRIO,10Estrela,AAA,Móveis,Torradeira Cadence Colors TOR114 - Amarelo,110V,1,1,1,99.7500,1,1,99.7500,0,0.0000,1,99.7500,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
30976,12523859,2020-08-17,PONTOFRIO,10Estrela,AAA,Móveis,Cadeirinha Infantil Dianteira Altmayer AL-01 para Bicicletas com Cinto de Segurança,PRETO,1,1,1,122.6300,1,1,122.6300,0,0.0000,1,122.6300,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
30976,11769473,2020-08-17,CASASBAHIA,10Estrela,AAA,Móveis,Cama Maca De Massagem Portátil Diva Dobrável Tl-Msg-01 Trevalla,.,6,6,6,3506.5000,4,4,2393.6300,0,0.0000,4,2393.6300,0,0.0000,0,0.0000,0,0.0000,0.68262655,2020-09-23T10:29:41.796Z,2020,08,17
30976,1504418305,2020-08-17,PONTOFRIO,10Estrela,AAA,Móveis,Conjunto Panelas Antiaderente Brinox 7131/407 Ruby 5 Peças Vermelho,Vermelho,1,1,1,147.9000,1,1,147.9000,0,0.0000,1,147.9000,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
30976,7906859,2020-08-17,EXTRA,10Estrela,AAA,Móveis,Pipoqueira Tramontina Paris em Alumínio - 22 cm,.,1,1,1,161.9000,1,1,161.9000,0,0.0000,1,161.9000,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
30976,1504005587,2020-08-17,CASASBAHIA,10Estrela,AAA,Móveis,Jogo De Facas Tramontina 23099936 Colorcut Inox 5 peças Colorido,Única,1,1,1,173.2700,1,1,173.2700,0,0.0000,1,173.2700,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
30976,1504233691,2020-08-17,PONTOFRIO,10Estrela,AAA,Móveis,Conjunto De Talheres Euro Home 24 Peças Porta Talheres Vermelho,Vermelho,1,1,1,70.2300,1,1,70.2300,0,0.0000,1,70.2300,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
30976,11630545,2020-08-17,CASASBAHIA,10Estrela,AAA,Móveis,"Suporte De Tv 10' A 65' Para Balcão Ou Mesa Tv's De Lcd, Led, Plasma, 4K E Curva",.,1,1,1,170.4100,1,1,170.4100,0,0.0000,1,170.4100,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
30976,10817180,2020-08-17,CASASBAHIA,10Estrela,AAA,Móveis,Escapamento Pro Tork V3 Yamaha Compatível Xtz 125 02 A 2014,.,1,1,1,308.3000,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0E-8,2020-09-23T10:29:41.796Z,2020,08,17
30976,11641379,2020-08-17,CASASBAHIA,10Estrela,AAA,Móveis,Guarda Roupa Palmas 3 Portas Rodial Móveis - Super Brilho,Branco,1,1,1,335.9500,1,1,335.9500,0,0.0000,1,335.9500,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
30976,13539021,2020-08-17,PONTOFRIO,10Estrela,AAA,Móveis,Suporte Articulado Bedin Sat Ba32 Light Para Tv Até 60 Pol Preto,.,1,1,1,98.1500,1,1,98.1500,0,0.0000,1,98.1500,0,0.0000,0,0.0000,0,0.0000,1.00000000,2020-09-23T10:29:41.796Z,2020,08,17
