idlojista,DtPedidoVenda,dataprometida,lojista,cluster,mundo,qtd_pedidos_colocados,qtd_itens_colocados,qtd_pedidos_aprovados,qtd_itens_aprovados,valorcolocado,valoraprovado,status_lojista,qtd_pedidos_atrasados_envio,valor_pedidos_atrasados_envio,qtd_pedidos_atraso_entrega,valor_pedidos_atraso_entrega,qtd_itens_no_prazo,qtd_itens_risco_atraso,qtd_itens_altorisco_atraso,qtd_itens_enviados,qtd_itens_entregues,qtd_itens_cancelados,qtd_itens_devolvidos,qtd_sku_distinto,qtd_sku,taxa_aprovacao
10138,2020-08-11,2020-08-26,MegaMamute,AAA,Tecnologia,18,21,10,10,32394.8700,18776.6300,ativo,0,0.0000,0,0.0000,0,0,0,0,9,1,0,13,21,0.57961739
30976,2020-08-05,2020-08-28,10Estrela,AAA,Móveis,6,6,3,3,1905.7100,883.4900,ativo,0,0.0000,1,213.5700,0,0,0,1,2,0,0,6,6,0.46360149
30976,2020-08-13,2020-10-01,10Estrela,AAA,Móveis,2,2,2,2,358.0400,358.0400,ativo,0,0.0000,0,0.0000,0,2,0,0,0,0,0,1,2,1.00000000
30976,2020-08-15,2020-10-30,10Estrela,AAA,Móveis,4,4,3,3,1632.6800,1224.5100,ativo,0,0.0000,0,0.0000,0,0,0,0,3,0,0,1,4,0.75000000
30976,2020-08-17,2020-10-06,10Estrela,AAA,Móveis,2,2,2,2,1112.4300,1112.4300,ativo,0,0.0000,0,0.0000,2,0,0,0,0,0,0,2,2,1.00000000
30976,2020-08-17,2020-11-17,10Estrela,AAA,Móveis,2,2,1,1,927.8800,463.9400,ativo,0,0.0000,0,0.0000,1,0,0,1,0,0,0,1,2,0.50000000
30976,2020-08-19,2020-09-09,10Estrela,AAA,Móveis,13,13,10,10,6378.1100,5169.2000,ativo,0,0.0000,1,199.2900,0,0,0,1,9,0,0,13,13,0.81045952
10138,2020-08-02,2020-08-06,MegaMamute,AAA,Tecnologia,19,19,13,13,19554.1000,12294.7000,ativo,0,0.0000,4,3605.6000,0,0,0,0,12,1,0,7,19,0.62875305
10138,2020-08-21,2020-09-02,MegaMamute,AAA,Tecnologia,8,8,5,5,11050.7800,6510.3400,ativo,0,0.0000,1,2789.0600,0,0,0,0,5,0,0,7,8,0.58912946
30976,2020-08-07,2020-11-06,10Estrela,AAA,Móveis,1,1,1,1,466.1500,466.1500,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-10,2020-09-07,10Estrela,AAA,Móveis,16,17,13,13,7217.5900,6570.6200,ativo,0,0.0000,1,1068.2900,0,0,0,1,12,0,0,13,17,0.91036205
30976,2020-08-19,2020-10-06,10Estrela,AAA,Móveis,3,3,2,2,1024.1800,177.2100,ativo,0,0.0000,0,0.0000,2,0,0,1,0,0,0,3,3,0.17302623
30976,2020-08-29,2020-09-11,10Estrela,AAA,Móveis,16,16,13,13,4366.7900,3805.6500,ativo,0,0.0000,0,0.0000,0,0,3,3,10,0,0,12,16,0.87149829
10138,2020-08-01,2020-08-14,MegaMamute,AAA,Tecnologia,7,7,3,3,5412.6200,2374.6000,ativo,0,0.0000,0,0.0000,0,0,0,0,3,0,0,4,7,0.43871545
10138,2020-08-08,2020-08-18,MegaMamute,AAA,Tecnologia,239,246,143,149,314110.4700,178136.1600,ativo,0,0.0000,17,27889.8300,0,0,0,1,141,7,0,59,246,0.56711309
10138,2020-08-16,2020-09-08,MegaMamute,AAA,Tecnologia,2,3,2,3,2128.5600,2128.5600,ativo,0,0.0000,1,722.6900,0,0,0,2,1,0,0,2,3,1.00000000
10138,2020-08-26,2020-09-02,MegaMamute,AAA,Tecnologia,1,1,1,1,1804.9000,1804.9000,ativo,0,0.0000,1,1804.9000,0,0,0,1,0,0,0,1,1,1.00000000
