idlojista,idsku,lojista,cluster,mundo,descricao_produto,descricao_sku,qtd_sku,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,taxa_aprovacao
10138,14931923,MegaMamute,AAA,Tecnologia,Secador Cabelos Gama Profissional Glow 3D 2000W Com Difusor,110v,4,4,4,2,2,714.9700,352.7500,0.49337734
10138,1502859275,MegaMamute,AAA,Tecnologia,Smart TV Philco 32 PTV32E20AGBL LED Android Bivolt,110v,57,55,57,21,20,71575.6500,26479.2300,0.36994746
10138,1504071862,MegaMamute,AAA,Tecnologia,Smart TV LED 43&quot; UHD 4K Samsung 43TU7000 Crystal UHD 2 HDMI 1 USB Wi-Fi,.,164,158,164,119,113,359021.0500,259949.1600,0.72404991
30976,7056357,10Estrela,AAA,Móveis,Tesoura De Poda Profissional - 78316501 - Tramontina Multi,.,1,1,1,1,1,77.9700,77.9700,1.00000000
30976,9128484,10Estrela,AAA,Móveis,Cômoda Demóbile Astral 4 Gavetas Branco,Branco,10,9,10,9,8,1907.5100,1728.6500,0.90623378
30976,11476092,10Estrela,AAA,Móveis,Mesa de Centro com 1 Prateleira Caribe Artely,Marrom Cacau,1,1,1,1,1,145.4300,145.4300,1.00000000
30976,11604357,10Estrela,AAA,Móveis,Espremedor Industrial Pocket Suco Laranja Limão 1/4 CV 200 W 220V,.,2,2,2,0,0,567.6600,0.0000,0E-8
30976,14009495,10Estrela,AAA,Móveis,Escada Móvel com Rodinhas Preta Flash Limp,.,1,1,1,1,1,348.4500,348.4500,1.00000000
30976,14187618,10Estrela,AAA,Móveis,Triciclo Infantil Ultra Bikes Top Girl Branco e Roxo,.,32,32,32,21,21,3901.5300,2543.5400,0.65193398
30976,1500411831,10Estrela,AAA,Móveis,Ukulele Acústico Auburn Aubuk41 Soprano 21 Pol 4 Cordas Natural,.,7,7,7,5,5,1062.1300,745.2100,0.70161845
30976,1500496297,10Estrela,AAA,Móveis,Forno Elétrico Layr Lyder Revolution 46 Litros 1750W Branco,220V,1,1,1,1,1,611.1800,611.1800,1.00000000
30976,1500560202,10Estrela,AAA,Móveis,Colchonete De Academia Hidrolight D70 ID1720 Preto,.,1,1,1,0,0,96.6100,0.0000,0E-8
10138,15057098,MegaMamute,AAA,Tecnologia,Lavadora de Roupas Panasonic 12Kg NA-F120B5GA Cinza Metálico,110v,122,122,122,92,92,198430.6700,149899.8300,0.75542672
30976,8572209,10Estrela,AAA,Móveis,Forno Elétrico de Bancada Fischer Grill 44 Litros Branco,220v,1,1,1,1,1,612.8600,612.8600,1.00000000
30976,9238701,10Estrela,AAA,Móveis,Furadeira de Bancada FMB 160 Profissional - Motomil - FMB160profissional,220V,1,1,1,0,0,1251.1300,0.0000,0E-8
30976,12887080,10Estrela,AAA,Móveis,Escrivaninha com Estante 2 Gavetas Alana,BRANCO,39,38,39,35,34,13720.7800,12267.7200,0.89409786
30976,13621754,10Estrela,AAA,Móveis,Patins Clássico - 4 Rodas - Weekend - Preto - Tam 36 - Bel Fix,.,2,2,2,1,1,558.1700,274.2700,0.49137360
30976,1500411379,10Estrela,AAA,Móveis,Par Rabeta Lateral Traseira Pro Tork CB300R 2009 Até 2013 Preto,.,1,1,1,1,1,90.4400,90.4400,1.00000000
30976,1500411535,10Estrela,AAA,Móveis,Kit Carenagem Pro Tork CG Titan 1998/1999 Azul Abrolhos,.,1,1,1,1,1,94.7200,94.7200,1.00000000
30976,1500631897,10Estrela,AAA,Móveis,Cuba De Apoio Para Banheiro Trevalla Q32 Quadrada,.,1,1,1,0,0,131.9900,0.0000,0E-8
30976,1501522168,10Estrela,AAA,Móveis,Junta Universal De Impacto Sata ST34719SC Aço Cromo 1/2 Polegada,.,1,1,1,1,1,51.7100,51.7100,1.00000000
30976,1501648149,10Estrela,AAA,Móveis,Fechadura Digital Interna E Externa Intelbras 4670010 FR 10 Preta,.,1,1,1,1,1,291.4400,291.4400,1.00000000
10138,11458098,MegaMamute,AAA,Tecnologia,"TV Monitor Smart LED 27,5"" HD LG 28MT49S-PS com Wi-Fi, WebOS, Conversor Digital Integrado, Screen Share, Cinema Mode, HDMI e USB",.,5,5,5,4,4,4881.2100,3843.0900,0.78732323
10138,12550206,MegaMamute,AAA,Tecnologia,Fogão 4 Bocas de Embutir à Gás Esmaltec Esmeralda Max Acendimento Automático Preto,Bivolt,22,22,22,19,19,21763.8800,18780.9100,0.86293942
10138,13570554,MegaMamute,AAA,Tecnologia,Fogão 4 Bocas Acendimento Automático Consul CF04NAB,.,2,2,2,1,1,1928.3300,909.8400,0.47182795
10138,1502999347,MegaMamute,AAA,Tecnologia,Forno Elétrico Britânia 22l Bfe22v 127v,110V,8,8,8,7,7,2292.8600,2010.0100,0.87663878
30976,7533839,10Estrela,AAA,Móveis,Conjunto de Utensílios Tramontina Ability em Nylon – 4 Peças,Grafite,19,19,19,17,17,915.4900,810.6900,0.88552578
30976,7663976,10Estrela,AAA,Móveis,Arco E Flecha Infantil Brinquedo Seguro Certificado Inmetro,.,1,1,1,1,1,117.2400,117.2400,1.00000000
30976,10387927,10Estrela,AAA,Móveis,Grill Ceramic Pan Grl350 Vermelho Cadence,110V,2,2,2,2,2,484.2300,484.2300,1.00000000
30976,10928142,10Estrela,AAA,Móveis,Caixa Térmica 45 Litros Vermelho Invicta,.,2,2,2,2,2,545.2700,545.2700,1.00000000
30976,12563818,10Estrela,AAA,Móveis,Lâmina De 6 Facas Para Liquidificador Reversível 004980-011-000 Oster,.,4,4,4,3,3,253.5000,200.1600,0.78958580
30976,14823381,10Estrela,AAA,Móveis,Fogão 4 Bocas Glass com Mesa de Vidro,Bivolt,1,1,1,0,0,1420.2500,0.0000,0E-8
30976,14945104,10Estrela,AAA,Móveis,Bicicleta Rebaixada Aro 26 18 Marchas Preta e Branca Pro Tork Ultra,.,2,2,2,1,1,1165.6200,582.9700,0.50013727
30976,1500442703,10Estrela,AAA,Móveis,Fogão De Mesa 4 Bocas Laguna Preto Esmaltec,.,28,28,28,18,18,5711.7400,3709.6300,0.64947459
30976,1500560241,10Estrela,AAA,Móveis,Caneleira De Peso Hidrolight ID1733 2 Unidades 1.5Kg Preta,.,2,2,2,2,2,117.8000,117.8000,1.00000000
30976,1500563039,10Estrela,AAA,Móveis,Chaleira Elétrica Cadence Infusion CEL550 1200W 1.7L Preta 127V,.,1,1,1,1,1,179.9200,179.9200,1.00000000
30976,1500631949,10Estrela,AAA,Móveis,Cuba De Apoio Para Banheiro Trevalla Q45 Retangular Mármore,.,6,3,6,4,2,967.8900,638.5500,0.65973406
30976,1504005830,10Estrela,AAA,Móveis,Esmerilhadeira Angular Einhell Sem Fio-Te-Ag 18/115,.,1,1,1,1,1,486.2900,486.2900,1.00000000
30976,1504234106,10Estrela,AAA,Móveis,Fogão A Gás 5 Bocas Itatiaia Itaglass Acendimento Automático Inox Bivolt,Bivolt,60,60,60,41,41,74384.0700,50703.4700,0.68164420
10138,55004475,MegaMamute,AAA,Tecnologia,"Smartphone Motorola Moto G8 Power Lite Aqua 64GB, 4 GB RAM, Tela de 6.5” HD+, Câmera Traseira Tripla, Android 9 e Processador Octa-Core",.,24,24,24,15,15,31842.4800,19899.1000,0.62492306
30976,4444137,10Estrela,AAA,Móveis,Frigideira Euro Home Montreal com Revestimento Cerâmico - 26 cm,Preto,1,1,1,1,1,78.9000,78.9000,1.00000000
30976,8625537,10Estrela,AAA,Móveis,Skate Skateboard Coca-Cola - Oriente,.,1,1,1,1,1,229.9000,229.9000,1.00000000
30976,10864533,10Estrela,AAA,Móveis,Bar Artely Brito com Rodízios - Branco,.,3,3,3,3,3,490.6800,490.6800,1.00000000
30976,11769473,10Estrela,AAA,Móveis,Cama Maca De Massagem Portátil Diva Dobrável Tl-Msg-01 Trevalla,.,43,43,43,32,32,26432.6200,19559.4200,0.73997281
30976,1500865611,10Estrela,AAA,Móveis,Tablet Multilaser NB267 M10a Lite 3G Android 7.0 Quad Core 1.3Ghz 8Gb 10Pol Preto,.,3,3,3,2,2,2004.6300,1335.0900,0.66600320
30976,1504277127,10Estrela,AAA,Móveis,Churrasqueira Giratória Elétrica Mared 5 Espetos Inox Bivolt,.,1,1,1,1,1,401.3300,401.3300,1.00000000
30976,9588308,10Estrela,AAA,Móveis,Faqueiro 24 Peças Vermelho Com Suporte 23198720 Tramontina,.,1,1,1,1,1,78.4600,78.4600,1.00000000
30976,12512023,10Estrela,AAA,Móveis,Mesa para Computador ou Escritório Kappesberg S973,Marrom Chocolate,11,11,11,7,7,3229.3500,1982.2200,0.61381393
30976,14944484,10Estrela,AAA,Móveis,Bicicleta Rebaixada Amarela e Branca Aro 24 18 Marchas Pro Tork Ultra,.,2,2,2,1,1,1127.3200,565.4600,0.50159671
30976,1500423941,10Estrela,AAA,Móveis,Hidrolavadora De Alta Vazão 1.5CV Monofásico Bivolt EL-350V Eletroplas,.,3,3,3,1,1,4204.6600,1402.9200,0.33365837
30976,1502754299,10Estrela,AAA,Móveis,Pia Para Cozinha Franke 712 140X53 Bella Cuba Central Inox,.,1,1,1,1,1,280.2100,280.2100,1.00000000
30976,1502900272,10Estrela,AAA,Móveis,Painel Para TV Até 48 Pol Bechara Navi Ripado 2 Nichos,Marrom,14,14,14,9,9,2353.6300,1446.5600,0.61460807
30976,1503640743,10Estrela,AAA,Móveis,Capacete Fechado Pro Tork R8 Viseira Fume Cinza/Rosa,58,2,2,2,1,1,295.5700,153.6400,0.51980918
10138,1503289415,MegaMamute,AAA,Tecnologia,Tanquinho Mueller 4Kg Superpop Branco,110V,14,14,14,11,11,4569.4800,3495.7800,0.76502797
30976,4441486,10Estrela,AAA,Móveis,Aparelho para Jantar e Chá Oxford Daily Floreal Bilro - 20 Peças,.,3,3,3,3,3,727.8200,727.8200,1.00000000
30976,6764717,10Estrela,AAA,Móveis,"Moto bomba 2,0 cv monofásica &quot;Modelo Standard&quot; - ECS-200M - Eletroplas",.,2,2,2,2,2,1769.6800,1769.6800,1.00000000
30976,12486691,10Estrela,AAA,Móveis,Assento Sanitário Polipropileno Monte Carlo Astra para Louça Deca,Gelo,1,1,1,1,1,73.2400,73.2400,1.00000000
30976,12751024,10Estrela,AAA,Móveis,Capacete New Liberty Three CAP-488AZ Pro Tork Azul,56,1,1,1,0,0,100.7900,0.0000,0E-8
30976,13665161,10Estrela,AAA,Móveis,Mini Berço/Moises Grade Palito Com Colchão 530697 Multimóveis,BRANCO,1,1,1,1,1,378.9100,378.9100,1.00000000
30976,13704982,10Estrela,AAA,Móveis,Forno Elétrico Mueller Questo 44 Litros - Preto - 110V,.,1,1,1,0,0,479.8700,0.0000,0E-8
30976,14944274,10Estrela,AAA,Móveis,Escapamento Esportivo Pro Tork Next Cbx 200 Strada Azul Titanium,.,1,1,1,0,0,240.9000,0.0000,0E-8
30976,1500411386,10Estrela,AAA,Móveis,Kit Carenagem Pro Tork Bros 150 2009 A 2011 Preto,.,1,1,1,0,0,167.8000,0.0000,0E-8
30976,1500441569,10Estrela,AAA,Móveis,Fogão A Gás 5 Bocas Realce Zeus Glass Mesa Vidro Bivolt Preto/Vermelho,.,2,2,2,2,2,2496.8000,2496.8000,1.00000000
30976,1500550975,10Estrela,AAA,Móveis,Triciclo Infantil Velocita Calesita Com Empurrador Lilás,.,1,1,1,1,1,336.3600,336.3600,1.00000000
30976,1501157521,10Estrela,AAA,Móveis,Máquina Inversora De Solda Worker 913820 ARC 130A 220V,.,1,1,1,1,1,646.9900,646.9900,1.00000000
30976,1502288316,10Estrela,AAA,Móveis,Fone De Ouvido Headset Pro Multilaser PH316 P2 Preto,.,2,2,2,2,2,170.5300,170.5300,1.00000000
30976,1503497578,10Estrela,AAA,Móveis,Manta Fleece Lepper Bebê Dupla Face Estampada Mini Elefante Rosa,Rosa,4,4,4,3,3,196.4700,134.5200,0.68468468
10138,10885130,MegaMamute,AAA,Tecnologia,Lavadora Turbo Economia Lac11 Com Dispenser Autoclean E Tecnologia Jet&Clean,110V,5,5,5,2,2,7995.6600,3198.0400,0.39997198
30976,182969,10Estrela,AAA,Móveis,Soprador e Aspirador de Folhas Trapp Elétrico SF 3000 - 3.000W,110v,1,1,1,1,1,547.3100,547.3100,1.00000000
30976,7018379,10Estrela,AAA,Móveis,Barra Maciça Cromada 40cm com presilhas 0082 Polimet,.,1,1,1,1,1,125.9000,125.9000,1.00000000
30976,12627191,10Estrela,AAA,Móveis,Molinete De Arremesso Longo 6 Rolamentos Brisa 4000 Marine Sports,.,1,1,1,1,1,240.2900,240.2900,1.00000000
30976,13537076,10Estrela,AAA,Móveis,Balança Digital Até 180Kg Display Lcd Prata Hc021 Serene,.,2,2,2,2,2,139.8000,139.8000,1.00000000
30976,1500411775,10Estrela,AAA,Móveis,Balança Eletrônica Welmy W200 Farmácia 200Kg Branca,.,1,1,1,1,1,1285.2300,1285.2300,1.00000000
30976,1500939305,10Estrela,AAA,Móveis,Banheira De Bebê Rosa Claro Rígida Galzerano,.,1,1,1,1,1,102.9600,102.9600,1.00000000
10138,13325808,MegaMamute,AAA,Tecnologia,Bebedouro de Coluna New Up Max Black Refrigerado por Compressor,110V,1,1,1,1,1,667.5200,667.5200,1.00000000
10138,1501209728,MegaMamute,AAA,Tecnologia,Caixa de Som Portátil Pulse SP356 Speaker Energy Bluetooth com Tecnologia IPX6,.,2,2,2,2,2,773.6900,773.6900,1.00000000
10138,1504333623,MegaMamute,AAA,Tecnologia,Smartphone Multilaser E P9129 32GB Dual Chip Tela 5.0&quot; Câmera 5MP Frontal 5MP Android 8.1 Dourado,.,13,10,13,11,8,6127.2700,5182.9600,0.84588406
10138,1504642891,MegaMamute,AAA,Tecnologia,Fogão 6 Bocas Electrolux Branco Porta Full Glass 76UB6 Bivolt,Bivolt,26,25,26,21,20,38662.5200,31230.5100,0.80777223
30976,2380640,10Estrela,AAA,Móveis,Saco Estanque Guepardo Dry Impermeável 20 L MD0020KEEP - Verde,.,1,1,1,1,1,59.3000,59.3000,1.00000000
30976,5162580,10Estrela,AAA,Móveis,"Cabo de Dados 30pin para Iphone, Ipod, Ipad",.,2,2,2,0,0,51.4200,0.0000,0E-8
30976,6372509,10Estrela,AAA,Móveis,Guarda-Roupa IF22R - Portas - Evidência,.,3,3,3,1,1,703.1600,227.3500,0.32332613
30976,9828683,10Estrela,AAA,Móveis,Bancada Para Cozinha Creme C647-NAC,.,1,1,1,1,1,449.2100,449.2100,1.00000000
30976,11478207,10Estrela,AAA,Móveis,Capacete New Liberty 3 Preto Pro Tork,.,5,5,5,1,1,517.3500,89.9800,0.17392481
30976,15088807,10Estrela,AAA,Móveis,Batman Patins Ajustavel 37 a 40 com Kit de Segurança,.,1,1,1,1,1,305.9000,305.9000,1.00000000
30976,1501011274,10Estrela,AAA,Móveis,Cadeira Presidente Milão Relax Couro Preta Tl-Cde-09-1 Trevalla,.,1,1,1,1,1,589.0000,589.0000,1.00000000
30976,1502955533,10Estrela,AAA,Móveis,Violão Eletroacústico Folk Di Giorgio GEBK Cordas De Aço Preto,.,1,1,1,1,1,808.9900,808.9900,1.00000000
30976,1503493578,10Estrela,AAA,Móveis,Jogo 6 Xícaras De Café Com Pires Floreal La Carreta Oxford,Única,1,1,1,0,0,96.6600,0.0000,0E-8
30976,1504233735,10Estrela,AAA,Móveis,Jogo De Talheres Euro Home Varanda Gourmet Rattan 24 Peças Branco,Branco,1,1,1,1,1,122.2300,122.2300,1.00000000
30976,1504619637,10Estrela,AAA,Móveis,Mola Hidraulica Pr 25Kg 45Kg Potencia 2 Kala 225398,.,2,1,2,2,1,296.9600,296.9600,1.00000000
30976,21618,10Estrela,AAA,Móveis,Halter Polimet 2kg Emborrachado 0662,.,6,4,6,3,2,464.0000,232.6400,0.50137931
30976,6667284,10Estrela,AAA,Móveis,Prateleira Componível Dupla 54Cm Com Fixação Invisível,.,2,2,2,0,0,192.4800,0.0000,0E-8
30976,7529837,10Estrela,AAA,Móveis,Conjunto De Talheres Inox New Kolor 24 Peças Branco Tramontina 23199862,.,2,1,2,0,0,124.4000,0.0000,0E-8
30976,7659491,10Estrela,AAA,Móveis,Churrasqueira Redonda Esmaltada à Bafo Guarapari 3052 Mor,.,11,11,11,9,9,2335.5900,1938.4100,0.82994447
30976,7762699,10Estrela,AAA,Móveis,Balcão Para Microondas MF211 2 Portas Evidência,Branco,8,8,8,6,6,1603.7500,1196.1800,0.74586438
30976,12466431,10Estrela,AAA,Móveis,"Conjunto para Pizza Tramontina em Alumínio, Inox e Polipropileno My Lovely Kitchen – 15 Peças",.,11,10,11,10,9,1516.2400,1382.8800,0.91204559
30976,12581390,10Estrela,AAA,Móveis,Forno Elétrico Fischer INFINITY Embutir 50L - 15740-27309,220V,1,1,1,0,0,1964.5000,0.0000,0E-8
30976,13223332,10Estrela,AAA,Móveis,Guarda Roupa com Módulo Aéreo e Cama Multimóveis 2650 Moderno,BRANCO,2,2,2,0,0,1693.9400,0.0000,0E-8
30976,13418805,10Estrela,AAA,Móveis,Escapamento Para Mobilete Dimensionado Es-40Cp Pro Tork,.,2,2,2,0,0,354.4700,0.0000,0E-8
30976,14944486,10Estrela,AAA,Móveis,Bicicleta Feminina Preta Aro 24 18 Marchas Pro Tork Ultra,.,1,1,1,1,1,653.2400,653.2400,1.00000000
30976,1500923202,10Estrela,AAA,Móveis,Tesoura De Poda Profissional Tramontina 78305501 Lâmina Em Aço,.,1,1,1,1,1,84.2400,84.2400,1.00000000
30976,1503215573,10Estrela,AAA,Móveis,Capacete Moto Fechado Mix MX2 Storm Laranja E Preto Fosco,56,1,1,1,0,0,161.6900,0.0000,0E-8
30976,1503492962,10Estrela,AAA,Móveis,Colcha Solteiro Camesa Evolution Patchword 230x160cm Marlin,Única,1,1,1,0,0,86.0900,0.0000,0E-8
30976,1504318256,10Estrela,AAA,Móveis,Espelheira Para Banheiro Astra LBP14/S 3 Portas 73x45cm Alumínio,.,9,9,9,8,8,3680.3700,3283.1200,0.89206248
10138,12758491,MegaMamute,AAA,Tecnologia,"Purificador de Agua Consul CPB34AS Branco 1,5 Litros com Refrigeracao por Placa Eletronica",.,8,7,8,4,4,4854.9700,2386.3800,0.49153342
10138,15147717,MegaMamute,AAA,Tecnologia,Tablet Multilaser M7 3G Plus Dual Chip Quad Core 1 GB de Ram Memória 16 GB Tela 7 Polegadas Preto - NB304,.,49,35,49,31,19,19973.9100,12531.5500,0.62739594
10138,55005951,MegaMamute,AAA,Tecnologia,"Smartphone Samsung Galaxy A31 Branco 128GB, 4GB RAM, Tela Infinita de 6.4"", Câmera Traseira Quádrupla, Leitor Digital na Tela e Android 10.0",.,117,114,117,48,47,200809.3800,82372.7100,0.41020350
10138,1500305747,MegaMamute,AAA,Tecnologia,Smartphone Quantum L Quad-Core 4 GB + 16GB* de armazenamento 6&quot; - Preto,.,91,84,91,55,48,50124.3100,30163.8100,0.60178005
10138,1503736007,MegaMamute,AAA,Tecnologia,"Smart TV LED 43&quot; Full HD Samsung LH43BET com HDR, Sistema Operacional Tizen, Wi-Fi, Dolby Digital Plus, HDMI e USB",.,102,101,102,61,60,188868.5100,112937.0100,0.59796633
30976,7138040,10Estrela,AAA,Móveis,Amassador de Batatas E Feijão Utilitá - Tramontina,Branco,2,2,2,2,2,75.2000,75.2000,1.00000000
30976,10817195,10Estrela,AAA,Móveis,Escapamento Esportivo 788 Pro Tork Honda Cbx 250 Twister 01 a 09,.,1,1,1,0,0,180.5800,0.0000,0E-8
30976,11754745,10Estrela,AAA,Móveis,Panela de Arroz Eletrica Gourmet de Inox 127V Multilaser - CE05,.,1,1,1,1,1,207.0200,207.0200,1.00000000
30976,12020824,10Estrela,AAA,Móveis,Sanduicheira Minigrill Cadence Colors Rosa Doce,220V,7,7,7,5,5,727.6100,532.9300,0.73243908
30976,12599231,10Estrela,AAA,Móveis,Encordoamento Cobra Para Violão Folk Aço 009 Geewak Giannini,.,1,1,1,1,1,34.3200,34.3200,1.00000000
30976,12829457,10Estrela,AAA,Móveis,Mini Trator Eletrico 6V Country Amarelo 319 Biemme,.,1,1,1,1,1,720.8700,720.8700,1.00000000
30976,12832516,10Estrela,AAA,Móveis,Lona Polietileno 8X6M Azul 100 Micras - Belfix,.,1,1,1,1,1,182.5400,182.5400,1.00000000
30976,13394277,10Estrela,AAA,Móveis,Sensor De Presença E27 ESP 360 S Intelbras,.,1,1,1,1,1,62.2400,62.2400,1.00000000
30976,13399747,10Estrela,AAA,Móveis,Cuba De Apoio Para Banheiro Compace Capri Ov39w Oval Preta,.,1,1,1,1,1,140.8500,140.8500,1.00000000
30976,13685282,10Estrela,AAA,Móveis,Conjunto Panela Supra antiaderente 5 peças Colors MTA,AMARELO OURO,1,1,1,0,0,232.6300,0.0000,0E-8
30976,13796730,10Estrela,AAA,Móveis,Fogão 5 Bocas Clarice Delicato Plus Glass com Respaldo e Mesa de Vidro,.,1,1,1,1,1,1166.4100,1166.4100,1.00000000
30976,1504241105,10Estrela,AAA,Móveis,Jogo De Panelas Tramontina 5 Peças Mônaco Preto 20899050,.,3,3,3,3,3,2312.3500,2312.3500,1.00000000
30976,1504507935,10Estrela,AAA,Móveis,Mesa Computador Gamer Trevalla Shark Com 1 Porta Preto Onix/Vermelho,Preto,1,1,1,0,0,425.6400,0.0000,0E-8
10138,14394479,MegaMamute,AAA,Tecnologia,"Climatizador de Ar Britânia BCL01F, 3 Vel, Branco - 110V",.,13,12,13,9,8,3883.6000,2576.5300,0.66343856
10138,15430523,MegaMamute,AAA,Tecnologia,Smart TV LED 55'' Ultra HD 4K Semp 55SK6200 3 HDMI 2 USB Wi-Fi,Bivolt,1,1,1,1,1,2276.0100,2276.0100,1.00000000
30976,1949223,10Estrela,AAA,Móveis,"Aparelho de Jantar, Chá e Sobremesa 20 Peças Oxford Daily Luiza em Cerâmica",.,4,4,4,3,3,1050.1900,814.7800,0.77584056
30976,10957097,10Estrela,AAA,Móveis,Suporte para caixa de som base redonda pesada SCR-02-B Preto,.,1,1,1,1,1,180.2000,180.2000,1.00000000
30976,12562490,10Estrela,AAA,Móveis,Guidão Para Moto Xtz 250 Lander Cromo Forte,.,1,1,1,0,0,70.7100,0.0000,0E-8
30976,13196408,10Estrela,AAA,Móveis,Cooler Térmico Atlético Paranaense,Preto,1,1,1,0,0,212.9300,0.0000,0E-8
30976,13293516,10Estrela,AAA,Móveis,Cafeteira Single Cadence Branca,220V,2,2,2,1,1,266.7100,120.8100,0.45296389
30976,13293555,10Estrela,AAA,Móveis,"Chaleira Elétrica Cadence Thermo One Colors 1,7L Amarela",127V,4,4,4,4,4,474.4900,474.4900,1.00000000
30976,14231025,10Estrela,AAA,Móveis,Prensa Térmica Para Sublimação 8 Em 1 Trevalla Tl-Sbl42 Pro,220V,1,1,1,1,1,1559.9800,1559.9800,1.00000000
30976,14944824,10Estrela,AAA,Móveis,Corrente Para Motosserra Kawashima K2c Sabre 18 Pol 72 Elos,.,1,1,1,0,0,72.3000,0.0000,0E-8
30976,1500205335,10Estrela,AAA,Móveis,Cadeira Portátil Smart Cosco - Cinza,.,8,8,8,7,7,1475.4100,1262.0600,0.85539613
30976,1501659362,10Estrela,AAA,Móveis,Bigorna Número 30 Metalcava 29.5Kg Vermelho,.,1,1,1,1,1,698.6700,698.6700,1.00000000
