idlojista,lojista,cluster,mundo,status_lojista,qtd_pedidos_colocados,qtd_itens_colocados,qtd_pedidos_aprovados,qtd_itens_aprovados,valorcolocado,valoraprovado,qtd_pedidos_atrasados_envio,valor_pedidos_atrasados_envio,qtd_pedidos_atraso_entrega,valor_pedidos_atraso_entrega,qtd_itens_no_prazo,valor_itens_no_prazo,qtd_itens_risco_atraso,valor_itens_risco_atraso,qtd_itens_altorisco_atraso,valor_itens_altorisco_atraso,qtd_itens_enviados,valor_itens_enviados,qtd_itens_entregues,valor_itens_entregues,qtd_itens_cancelados,valor_itens_cancelados,qtd_itens_devolvidos,valor_itens_devolvidos,qtd_sku_distinto,qtd_sku,taxa_aprovacao,taxa_atraso_envio,taxa_atraso_entrega,taxa_risco_atraso_entrega,taxa_altorisco_atraso_entrega
10623,Empório do Lazer,A,Cauda Longa,ativo,26,27,23,24,6460.8800,6200.0600,1,118.4800,6,1671.4300,0,0.0000,1,76.5500,1,128.6600,7,1758.1600,15,2986.2100,1,1337.2100,0,0.0000,23,27,0.95963089,0.01910949,0.26958288,0.01234665,0.02075141
10817,SOS da Piscina,A,Cauda Longa,ativo,41,60,30,47,5468.7000,4156.8000,1,54.4000,4,163.0800,11,915.8200,3,488.7000,4,319.4000,15,934.8000,16,1765.3800,1,238.4000,0,0.0000,31,60,0.76010752,0.01308699,0.03923210,0.11756640,0.07683795
13623,Dual Click,A,Cauda Longa,ativo,4,4,3,3,336.8700,265.3700,0,0.0000,1,90.1000,0,0.0000,0,0.0000,0,0.0000,1,90.1000,2,175.2700,0,0.0000,0,0.0000,4,4,0.78775195,0E-8,0.33952594,0E-8,0E-8
16574,Loja do hipertenso,A,Cauda Longa,ativo,106,128,77,89,18477.5000,12733.3100,0,0.0000,17,2978.6200,0,0.0000,5,979.3100,8,1003.4900,30,4240.5000,58,8179.3000,1,313.5100,0,0.0000,48,128,0.68912515,0E-8,0.23392347,0.07690930,0.07880826
19079,Poetique,A,Cauda Longa,ativo,37,40,30,32,2582.2400,2037.6500,0,0.0000,6,394.2000,1,66.5900,1,56.4800,1,106.5600,8,530.5900,22,1397.6100,2,109.4500,0,0.0000,30,40,0.78910171,0E-8,0.19345815,0.02771820,0.05229554
19553,SPACE TENNIS,AAA,Cauda Longa,ativo,67,68,28,29,28573.3400,8673.9200,6,2878.6700,7,3196.5500,0,0.0000,6,1499.5500,1,226.9900,5,1320.3700,13,3154.9100,2,595.9200,0,0.0000,50,68,0.30356689,0.33187648,0.36852427,0.17288031,0.02616925
21700,Viva Conforto,A,Cauda Longa,ativo,3,6,1,1,982.2500,152.7100,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,152.7100,0,0.0000,0,0.0000,2,6,0.15546959,0E-8,0E-8,0E-8,0E-8
26708,Nevoni,A,Cauda Longa,ativo,11,12,10,11,1609.9700,1465.3100,0,0.0000,1,144.6600,0,0.0000,0,0.0000,0,0.0000,1,144.6600,10,1320.6500,0,0.0000,0,0.0000,3,12,0.91014739,0E-8,0.09872314,0E-8,0E-8
30903,Exclusiva Castor,AAA,Móveis,ativo,45,46,30,31,100609.9900,59323.7000,0,0.0000,2,3254.7100,2,3774.0900,3,4338.1900,1,1776.8800,7,11551.1200,22,43841.3100,2,3931.2700,0,0.0000,18,46,0.58964025,0E-8,0.05486357,0.07312743,0.02995228
31528,Plastificar,A,Cauda Longa,ativo,81,100,71,89,32032.1700,26799.1500,1,357.3800,29,10729.6700,0,0.0000,0,0.0000,1,320.5700,27,7056.8900,56,17245.3600,3,876.6800,0,0.0000,66,100,0.83663236,0.01333550,0.40037352,0E-8,0.01196195
32414,Inspirare Decorações,A,Cauda Longa,ativo,16,18,13,15,1292.6300,1142.3400,0,0.0000,3,207.3600,1,75.5900,2,179.0800,0,0.0000,6,462.0300,8,618.1400,1,62.1700,0,0.0000,12,18,0.88373316,0E-8,0.18152214,0.15676594,0E-8
32460,MANIA PINGO DE MEL,A,Cauda Longa,ativo,786,937,37,89,27942.1200,2960.6200,2,56.7500,10,200.7000,0,0.0000,0,0.0000,9,204.0600,13,349.3200,60,2163.5400,5,141.2100,0,0.0000,78,937,0.10595545,0.01916828,0.06778985,0E-8,0.06892475
32539,Ultrapedicos,A,Cauda Longa,ativo,77,98,53,69,6563.2000,4673.0000,0,0.0000,10,708.7900,0,0.0000,3,232.0000,0,0.0000,14,942.1200,50,3233.8000,3,432.4000,0,0.0000,54,98,0.71200024,0E-8,0.15167772,0.04964691,0E-8
33412,MANDALA DE LUZ,A,Cauda Longa,ativo,7,14,5,11,700.5800,467.1700,0,0.0000,1,21.9800,0,0.0000,0,0.0000,0,0.0000,2,43.9600,9,423.2100,0,0.0000,0,0.0000,11,14,0.66683320,0E-8,0.04704925,0E-8,0E-8
33717,Direto Móveis,Setup,Cauda Longa,ativo,126,158,93,104,174553.1400,120992.2600,0,0.0000,0,0.0000,33,40049.9400,19,20288.5300,3,2370.8500,25,22719.7900,44,48565.4300,5,9717.5100,0,0.0000,93,158,0.69315430,0E-8,0E-8,0.16768453,0.01959506
33722,QCompra,A,Linha Branca,ativo,47,51,23,26,9104.3800,4769.6900,0,0.0000,1,205.2800,1,69.1600,1,463.7200,3,353.2800,7,1296.7200,19,3472.9700,0,0.0000,0,0.0000,10,51,0.52388960,0E-8,0.04303844,0.09722225,0.07406771
34061,LOJA CENTER LI,A,Cauda Longa,ativo,2,2,2,2,3073.9600,3073.9600,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,3073.9600,0,0.0000,0,0.0000,2,2,1.00000000,0E-8,0E-8,0E-8,0E-8
35694,Grupo Ribera,A,Setup,ativo,45,50,15,15,187579.5200,52306.4000,0,0.0000,4,17735.4000,0,0.0000,0,0.0000,1,3888.6000,2,9526.4000,12,39255.6000,1,3524.4000,0,0.0000,11,50,0.27884920,0E-8,0.33906749,0E-8,0.07434272
36355,Inox House,Setup,Cauda Longa,ativo,1,5,1,5,212.3000,212.3000,0,0.0000,1,42.4600,0,0.0000,0,0.0000,0,0.0000,5,212.3000,0,0.0000,0,0.0000,0,0.0000,1,5,1.00000000,0E-8,0.20000000,0E-8,0E-8
36538,SONECA SHOP,Setup,Cauda Longa,ativo,2,2,2,2,1185.7700,1185.7700,0,0.0000,0,0.0000,2,1185.7700,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,2,1.00000000,0E-8,0E-8,0E-8,0E-8
37251,AMO CONFEITARIA,Setup,Cauda Longa,ativo,1,3,1,3,98.2400,98.2400,0,0.0000,0,0.0000,3,98.2400,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,3,3,1.00000000,0E-8,0E-8,0E-8,0E-8
37263,HIPER EQUIPAMENTOS,Setup,Cauda Longa,ativo,4,4,3,3,4897.2600,3961.5900,0,0.0000,1,805.8400,0,0.0000,1,684.5700,0,0.0000,2,1490.4100,1,2471.1800,0,0.0000,0,0.0000,4,4,0.80894010,0E-8,0.20341328,0.17280183,0E-8
37307,DALENOS,Setup,Cauda Longa,ativo,10,10,9,9,1839.4000,1728.3000,0,0.0000,2,179.4000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,9,1728.3000,0,0.0000,0,0.0000,9,10,0.93959987,0E-8,0.10380142,0E-8,0E-8
10121,Delgrani,A,Cauda Longa,ativo,9,9,7,7,2034.1600,1664.3100,1,290.6800,1,290.6800,0,0.0000,1,376.1100,0,0.0000,1,376.1100,4,804.6900,1,192.8300,0,0.0000,7,9,0.81818048,0.17465496,0.17465496,0.22598554,0E-8
12006,BV MAGAZINE,A,Móveis,ativo,124,128,81,84,122521.3000,66149.1400,0,0.0000,0,0.0000,42,36940.9200,21,12993.5000,0,0.0000,57,46389.9700,19,14907.2300,2,1307.4900,0,0.0000,62,128,0.53989910,0E-8,0E-8,0.19642735,0E-8
14465,Bright,Setup,Cauda Longa,ativo,45,46,24,25,7408.9400,3607.2500,0,0.0000,1,137.3900,1,167.3900,4,561.5600,2,348.8800,8,1215.2200,17,2392.0300,0,0.0000,0,0.0000,13,46,0.48687801,0E-8,0.03808719,0.15567538,0.09671634
15254,Natural Fitness,A,Cauda Longa,ativo,166,186,131,150,39274.2400,23743.3700,0,0.0000,0,0.0000,8,1705.9800,10,1261.8200,0,0.0000,18,2967.8000,130,20285.6600,2,489.9100,0,0.0000,39,186,0.60455326,0E-8,0E-8,0.05314410,0E-8
19962,CONCORDIA INFORMÁTICA,A,Tecnologia,ativo,16,17,11,12,21579.5000,13564.0500,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,12,13564.0500,0,0.0000,0,0.0000,5,17,0.62856183,0E-8,0E-8,0E-8,0E-8
20268,Olimar Metais Sanitarios,A,Cauda Longa,ativo,46,57,29,36,7177.8000,4676.2000,0,0.0000,8,1707.2000,0,0.0000,0,0.0000,0,0.0000,4,484.8000,31,3949.2000,1,242.2000,0,0.0000,15,57,0.65148096,0E-8,0.36508276,0E-8,0E-8
21859,GTEK,A,Cauda Longa,ativo,3,3,0,0,771.9000,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,3,0E-8,"","","",""
22412,Pacifico Ar Condicionado,A,Linha Branca,ativo,19,19,17,17,19649.9700,17577.6300,0,0.0000,1,321.6700,0,0.0000,0,0.0000,0,0.0000,0,0.0000,16,17255.9600,1,321.6700,0,0.0000,6,19,0.89453724,0E-8,0.01829996,0E-8,0E-8
26767,Rafarillo,A,Cauda Longa,ativo,3,3,1,1,717.7000,234.2000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,234.2000,0,0.0000,0,0.0000,3,3,0.32632019,0E-8,0E-8,0E-8,0E-8
30988,Singola,A,Cauda Longa,ativo,1,1,0,0,148.9000,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,1,0E-8,"","","",""
32304,Aumenta Venda,A,Cauda Longa,inativo,161,180,118,130,30373.2700,21885.4100,0,0.0000,2,1440.2200,21,1979.3800,24,5269.3400,13,1453.3800,59,9294.8000,67,10972.7600,3,770.3300,0,0.0000,97,180,0.72054836,0E-8,0.06580731,0.24076954,0.06640863
34878,VJCOMPANY,A,Cauda Longa,ativo,8,21,6,16,2225.2300,1669.4600,0,0.0000,0,0.0000,0,0.0000,3,326.6700,0,0.0000,3,326.6700,13,1342.7900,0,0.0000,0,0.0000,6,21,0.75024155,0E-8,0E-8,0.19567405,0E-8
