IdLojista,Mes,NmLojista,NmClusterLojista,NmMundoLojista,QtPedidoColocado,QtItemColocado,QtPedidoAprovado,QtItemAprovado,VrTotalPedidoColocado,VrTotalPedidoAprovado,StLojista,TxAprovacao
10086,5,POLISHOP,AAA,Linha Branca,1927,2027,1356,1424,1682027.6000,1227346.3700,ativo,0.72968266
10511,7,SUGGAR,AAA,Linha Branca,298,308,227,236,174434.8800,133112.6300,ativo,0.76310787
10736,1,X4 Adesivos,A,Cauda Longa,7,19,5,17,940.5700,816.7100,ativo,0.86831389
10898,5,TETRIX,AAA,Tecnologia,7555,7763,3081,3154,7115071.2400,2632590.9000,ativo,0.37000204
11297,5,E-store,A,Cauda Longa,896,1021,542,627,184648.8800,102807.0300,ativo,0.55677040
11323,2,MISTER IMAGEM,A,Tecnologia,2,2,2,2,339.3400,339.3400,ativo,1.00000000
11494,9,Estevam Eletro Magazine,A,Cauda Longa,36,39,24,26,3775.1000,2519.4000,ativo,0.66737305
12360,9,Your Gift Comercio Eletronico EIRELI,AAA,Cauda Longa,742,767,561,582,475816.3800,335769.7000,ativo,0.70567075
12403,4,CABEÇA CAR,A,Cauda Longa,17,18,9,10,5393.7500,2707.5400,ativo,0.50197729
13676,7,Admirare,AAA,Cauda Longa,343,443,229,300,36017.7200,23526.2600,ativo,0.65318571
13915,2,EMILEMOVEIS,AAA,Móveis,258,262,181,181,314153.6600,219741.2700,ativo,0.69947067
14216,1,Prisma Cartuchos,A,Tecnologia,40,40,19,19,18878.2000,8412.4900,ativo,0.44561929
14444,6,ANA BELY,A,Cauda Longa,375,531,300,424,61626.2700,47264.2100,ativo,0.76694906
14483,6,Foscam,A,Cauda Longa,116,130,72,83,48489.5300,30513.1100,ativo,0.62927213
14600,3,Noy Brinquedos,A,Cauda Longa,40,41,31,32,7519.5400,6150.8400,ativo,0.81798089
14625,8,Shop Manola,A,Cauda Longa,2,3,0,0,376.9000,0.0000,ativo,0E-8
14665,3,Sir Tecnologia,A,Linha Branca,36,36,27,27,45001.8200,28704.1200,ativo,0.63784354
14778,9,CASA MARÍLIA,A,Cauda Longa,24,28,17,21,6051.2200,4245.3100,ativo,0.70156266
14841,2,CashPeg,A,Cauda Longa,2,3,2,3,310.1100,310.1100,inativo,1.00000000
14928,9,Cris Presentes,A,Cauda Longa,18,25,15,21,1404.4600,1015.7200,ativo,0.72321034
15118,6,DUBRASIL,A,Móveis,114,158,60,73,110788.2500,54311.0500,ativo,0.49022392
15363,7,Nature Dog,A,Cauda Longa,1,2,1,2,55.6800,55.6800,ativo,1.00000000
15700,8,LIGAÇÃO HOME CENTER,A,Cauda Longa,35,39,26,29,5613.4800,4365.6900,ativo,0.77771543
16130,4,Hayabusa,A,Cauda Longa,3,3,3,3,730.4000,730.4000,inativo,1.00000000
16608,8,CM IMPORTS,A,Cauda Longa,2,7,1,1,304.7100,57.5100,ativo,0.18873683
16611,1,Livraria Luana,A,Cauda Longa,11,13,10,12,1903.4600,1696.0800,ativo,0.89105103
16627,7,TOYMANIA2,AAA,Cauda Longa,834,976,670,790,133542.3000,102470.1200,ativo,0.76732331
16744,4,FARMA DELIVERY,AAA,Cauda Longa,6,9,5,8,660.9300,517.5800,ativo,0.78310865
16860,9,BTBMoveis,A,Móveis,146,173,118,138,72154.0100,59300.3200,ativo,0.82185758
16934,8,Teixeira Textil,A,Cauda Longa,2,3,2,3,360.7000,360.7000,ativo,1.00000000
17185,7,COMPTRONICS,A,Cauda Longa,25,28,19,21,1027.6000,754.7000,inativo,0.73442974
17247,8,Globalmar Aquecedores,A,Cauda Longa,11,23,10,22,6443.7800,4502.2700,ativo,0.69870014
17528,5,Um Shop,A,Cauda Longa,25,26,16,17,21950.4100,9421.9200,ativo,0.42923663
17708,2,Dinhos Music,A,Cauda Longa,3,8,3,8,997.9000,997.9000,ativo,1.00000000
17708,3,Dinhos Music,A,Cauda Longa,2,2,2,2,227.5700,227.5700,ativo,1.00000000
18004,3,Dika de Presentes,A,Cauda Longa,1,1,1,1,261.3000,261.3000,ativo,1.00000000
18333,8,otica shop,AAA,Cauda Longa,81,81,54,54,45398.7400,29738.9600,ativo,0.65506135
18507,8,Diplay,A,Cauda Longa,1,1,0,0,53.5500,0.0000,ativo,0E-8
19111,8,Fly Games SP,A,Tecnologia,4,4,2,2,757.9700,387.2400,ativo,0.51089093
19198,7,Eletro oferta,AA,Tecnologia,56,60,42,45,35795.5100,25969.2200,ativo,0.72548820
19201,2,Joias 10,A,Cauda Longa,7,7,6,6,3879.9200,3494.3000,ativo,0.90061135
19327,5,Compra Hajato,A,Cauda Longa,236,313,133,190,26159.6600,14575.9400,ativo,0.55719149
19413,1,MARKETLASER,A,Tecnologia,2,4,2,4,123.9100,123.9100,ativo,1.00000000
19438,5,Space Buy,A,Linha Branca,140,185,111,143,12655.8100,10526.3600,ativo,0.83174131
19595,4,Lucca Baby,A,Cauda Longa,3,3,2,2,591.2400,376.6700,ativo,0.63708477
19809,4,Okity,A,Cauda Longa,2,2,1,1,255.5800,137.7700,ativo,0.53904844
20362,9,Cordeiro Maquinas,A,Cauda Longa,40,41,27,28,22721.1600,15511.3900,ativo,0.68268477
20965,7,MACONEQUI,AAA,Cauda Longa,1073,1161,892,964,247285.2600,208664.9900,ativo,0.84382300
21328,9,EVAS PERFUMARIA,A,Cauda Longa,40,42,24,25,11686.0500,6330.4800,ativo,0.54171255
21700,9,Viva Conforto,A,Cauda Longa,8,9,4,5,722.9000,501.0200,ativo,0.69306958
21903,4,Planeta Saturno,A,Tecnologia,3,3,3,3,342.7000,342.7000,ativo,1.00000000
23385,6,Legurmê,A,Cauda Longa,1,6,1,6,114.9000,114.9000,ativo,1.00000000
23624,5,PRIMEIROS DANET,A,Tecnologia,10,10,8,8,718.7000,529.8200,ativo,0.73719215
23700,9,Toyzz Brinquedos,A,Cauda Longa,14,15,12,13,1604.9100,1309.1700,ativo,0.81572798
24006,6,Supernova,A,Cauda Longa,160,172,109,118,10016.3600,6814.2800,ativo,0.68031500
24324,4,Ploft Store,A,Cauda Longa,9,9,9,9,3133.5100,3133.5100,ativo,1.00000000
24921,7,Mercadodobrazil,A,Tecnologia,7,7,7,7,1072.2500,1072.2500,ativo,1.00000000
25496,1,Ditudotem,AAA,Cauda Longa,90,107,60,74,15880.2700,9076.3000,ativo,0.57154570
26170,5,Titétis,A,Cauda Longa,9,12,8,11,985.8900,831.2900,ativo,0.84318737
26255,3,Casa & Video,AAA,Cauda Longa,5319,6713,4084,5133,761956.2000,549395.9700,ativo,0.72103353
27015,3,TOCA DOS PEIXES,AAA,Cauda Longa,48,53,41,46,29648.4800,25543.0000,ativo,0.86152815
27079,5,CIA DOS RELÓGIOS,A,Cauda Longa,25,26,19,20,6801.4000,4967.4000,ativo,0.73034963
27091,6,Vila do Churrasco,A,Cauda Longa,15,15,10,10,4191.9400,2853.0200,ativo,0.68059657
31028,6,Global Decor Brasil,A,Móveis,353,402,246,277,277804.5300,186845.0100,ativo,0.67257726
31469,6,Magazine 24h,A,Cauda Longa,3,3,3,3,385.3300,385.3300,ativo,1.00000000
31527,6,Mapel,A,Tecnologia,37,50,30,43,89618.0500,76379.5400,ativo,0.85227853
31620,3,Unicpharma,A,Cauda Longa,2235,9189,1978,8170,180831.3300,159747.6400,ativo,0.88340687
31661,6,Vaidade Store,A,Cauda Longa,43,45,27,28,13978.2500,8675.0400,ativo,0.62060988
31741,3,Best Fit,A,Cauda Longa,1,1,1,1,58.0800,58.0800,ativo,1.00000000
32026,9,Reinventar,A,Cauda Longa,10,11,7,8,2103.5300,1436.3500,ativo,0.68282839
32204,4,Panela Mix,A,Cauda Longa,2,2,2,2,619.9300,619.9300,ativo,1.00000000
32431,1,Decoramix,A,Cauda Longa,1,1,1,1,174.9000,174.9000,ativo,1.00000000
32453,9,STOCK1,A,Tecnologia,1,1,1,1,998.0400,998.0400,ativo,1.00000000
32484,1,MALL ELETRONICOS,AAA,Cauda Longa,859,880,403,410,1022629.2800,476867.9800,ativo,0.46631559
32516,2,Wiler-kar,A,Cauda Longa,41,96,33,75,6027.9700,4955.2700,ativo,0.82204623
32544,6,Cerveja Box,AAA,Cauda Longa,26,40,15,19,4752.5300,2785.3700,ativo,0.58608152
32589,5,Book Market,A,Cauda Longa,80,81,57,58,5081.3300,3414.5500,ativo,0.67197958
32615,2,Colola Decorações,A,Cauda Longa,2,2,2,2,166.2300,166.2300,ativo,1.00000000
32622,4,Jjoias Premium,A,Cauda Longa,2,2,0,0,1018.8000,0.0000,ativo,0E-8
32693,8,SPINWAY,A,Cauda Longa,8,14,8,14,1998.6100,1998.6100,ativo,1.00000000
32753,6,SIDRODAS,AAA,Cauda Longa,67,70,18,18,95553.6100,25143.7000,ativo,0.26313710
32820,7,Tsuyoi do Brasil,A,Cauda Longa,2,2,1,1,1464.8000,767.1000,ativo,0.52368924
32894,2,Fácil Shopping,A,Cauda Longa,13,13,11,11,2651.0900,2275.4000,ativo,0.85828848
33181,4,Harmonia Produtos,A,Cauda Longa,25,32,19,24,2474.9000,1617.7100,ativo,0.65364661
33232,4,CASA E GARAGEM,AAA,Cauda Longa,214,256,149,178,56694.1000,39543.9400,ativo,0.69749656
33309,6,MAXIMUS STORE,A,Cauda Longa,1,2,1,2,179.3000,179.3000,ativo,1.00000000
33315,2,Dua Cosméticos,A,Cauda Longa,1,1,1,1,184.8000,184.8000,ativo,1.00000000
33317,1,Matern Milk,A,Cauda Longa,2,3,2,3,333.6000,333.6000,ativo,1.00000000
33326,5,Amazinshop,AA,Tecnologia,133,137,55,58,162098.3000,56567.7300,ativo,0.34897177
33345,5,Shop Eletro Almeida,A,Tecnologia,179,204,150,172,20280.9400,16990.6500,ativo,0.83776442
33459,6,DDEK,Setup,Cauda Longa,3,5,1,2,1490.9800,408.5400,ativo,0.27400770
33474,7,VIT QUALITY,A,Móveis,6,6,3,3,9862.4300,5520.0200,ativo,0.55970182
33551,1,LOJA HIPERELETRONICO,A,Tecnologia,43,46,30,32,2615.7200,2040.9300,ativo,0.78025553
33613,4,IMPORT CAPAS,A,Tecnologia,19,21,14,15,1107.8100,730.3100,inativo,0.65923759
33741,6,Mania de Enxoval,A,Cauda Longa,178,210,122,151,30274.2300,20989.0300,inativo,0.69329691
33945,9,PERFUMA BRASIL,A,Cauda Longa,3,3,0,0,1195.4200,0.0000,inativo,0E-8
33999,9,RSA-eCommerce,Setup,Setup,6,6,4,4,1587.8300,1120.0400,ativo,0.70539038
34018,4,BLUMERKPONTOCOM,Setup,Setup,58,78,52,72,57456.8100,51402.6400,ativo,0.89463094
34138,5,PARAISO DO LAR,A,Cauda Longa,19,22,11,14,2473.5900,1626.1200,ativo,0.65739270
34309,6,DC Casa e Construção,Setup,Setup,26,26,12,12,31482.5000,12950.5000,ativo,0.41135551
34468,2,A COLCHOES,AA,Móveis,268,276,184,189,165173.5700,112998.7400,ativo,0.68412119
34479,1,TECNONLINE,A,Tecnologia,18,18,4,4,27919.8100,6911.0300,ativo,0.24753141
34939,3,SHOPSUBLIME,A,Cauda Longa,53,56,41,42,5951.4600,4462.8900,ativo,0.74988154
34950,5,Multicap Imports,A,Cauda Longa,35,72,26,51,9423.4600,6914.2100,ativo,0.73372307
34974,1,JRS,A,Setup,21,29,12,20,8603.9400,4849.9800,ativo,0.56369291
35004,3,Tapetes na Web,A,Cauda Longa,30,31,20,21,17401.4300,12793.1200,ativo,0.73517636
35005,3,EU AMO MOVEIS,Setup,Móveis,25,28,21,24,15205.6400,12518.3500,ativo,0.82327018
35147,8,Mappin,AAA,Cauda Longa,1581,1662,1020,1070,545265.7400,354459.3100,ativo,0.65006708
35282,6,STOCKCAR,AAA,Cauda Longa,70,83,23,30,63450.8400,20681.3500,ativo,0.32594289
35423,2,Comercial Villaggio,Setup,Setup,62,97,16,30,12753.9100,3495.3000,ativo,0.27405713
35479,6,TOP COMPRAS BR,A,Setup,157,168,99,103,43960.9200,27013.4700,ativo,0.61448828
35484,9,SOFT BELLA,A,Setup,1,1,1,1,216.8000,216.8000,ativo,1.00000000
35520,8,PicniqStore,A,Setup,9,10,8,9,972.7000,871.5000,ativo,0.89595970
35527,5,CENTRAL TOALHAS,Setup,Cauda Longa,206,437,154,333,12926.5000,9627.0500,ativo,0.74475303
35585,6,Confiança Presentes,A,Setup,83,94,55,65,8766.8100,6102.9900,ativo,0.69614717
35604,9,DAMANNU SHOES,A,Setup,1,1,1,1,190.6000,190.6000,ativo,1.00000000
35660,8,Loja Oficial Motorola,Setup,Setup,1145,1169,596,610,1760781.6100,882776.4800,ativo,0.50135490
35720,3,Bazar Na Web,A,Setup,9,9,7,7,671.7200,578.7200,ativo,0.86154946
35735,6,Storecell,A,Setup,40,41,3,4,7056.9200,604.5700,ativo,0.08567052
35752,6,DOM STORE,Setup,Setup,15,20,13,18,1916.6700,1665.3100,ativo,0.86885588
35759,2,Digital Proshop,A,Setup,1,1,1,1,2016.0700,2016.0700,ativo,1.00000000
35763,3,Gil Moveis,Setup,Setup,19,27,8,9,14814.1800,5857.7600,ativo,0.39541574
35832,6,Gama Italy,AAA,Setup,936,962,691,715,227679.8600,153113.6500,ativo,0.67249536
35923,1,EVOLUTIVA MODAS,Setup,Setup,1,2,1,2,48.4800,48.4800,ativo,1.00000000
35964,8,Zafani,Setup,Setup,17,18,9,9,23642.8000,8565.2500,ativo,0.36227731
36008,6,Vem Pro Magazine,Setup,Setup,46,46,24,24,59867.8000,36235.2000,ativo,0.60525358
36070,2,PLAY GAMES BRASIL,Setup,Setup,41,42,7,7,86234.4000,13073.4000,ativo,0.15160307
36082,2,Via Suplementos,Setup,Setup,5,5,2,2,530.3600,168.8900,ativo,0.31844408
36102,3,SHOPPING D CASA,Setup,Setup,52,59,41,48,18381.6200,13645.3800,ativo,0.74233827
36209,4,AG SHOP COMERCIO,Setup,Cauda Longa,27,27,17,17,12453.5000,8749.4200,ativo,0.70256715
36225,5,Hosana Joias,Setup,Cauda Longa,12,12,6,6,5179.6000,2783.6000,ativo,0.53741602
36273,4,Mundo Cristao,Setup,Cauda Longa,23,27,16,19,2278.3600,1584.6400,inativo,0.69551783
36345,9,Decora e Redecora me,Setup,Cauda Longa,8,10,4,5,6086.3700,3033.7000,ativo,0.49844160
36609,2,BELEZA DE FATO,Setup,Cauda Longa,1,1,1,1,188.5000,188.5000,ativo,1.00000000
36641,5,VEMPRAK,Setup,Cauda Longa,7,8,5,6,1432.3900,1027.0900,ativo,0.71704634
36688,7,TICTACTOO,Setup,Cauda Longa,2,2,1,1,337.7000,267.0600,ativo,0.79082025
36733,3,Pronta Reforma,Setup,Cauda Longa,11,11,10,10,981.7100,891.2100,ativo,0.90781392
36780,6,JC Plus,Setup,Cauda Longa,2,2,2,2,284.8900,284.8900,ativo,1.00000000
36887,6,Rei de Casa,Setup,Cauda Longa,4,4,3,3,1869.6700,1445.6700,ativo,0.77322201
37103,6,Profissional Beleza,Setup,Cauda Longa,7,7,2,2,783.9200,306.0000,ativo,0.39034595
37374,6,LOJAS THOR,Setup,Cauda Longa,47,47,24,24,8453.7900,4378.4400,ativo,0.51792628
38322,9,Trama Original Loja,Setup,Cauda Longa,12,12,8,8,13994.0000,9774.0000,ativo,0.69844219
38479,9,Soberano Colchões,Setup,Cauda Longa,7,7,5,5,10034.8000,7390.4000,ativo,0.73647706
38713,9,COCKLES,Setup,Cauda Longa,3,3,3,3,160.0800,160.0800,ativo,1.00000000
39172,9,COMERCIAL MAXX,Setup,Cauda Longa,10,13,9,12,913.5000,745.7200,ativo,0.81633279
39931,9,SOLLUA,Setup,Cauda Longa,1,1,0,0,299.6900,0.0000,ativo,0E-8
40896,8,ROSELIARTLUZ,Setup,Cauda Longa,1,1,1,1,159.0000,159.0000,inativo,1.00000000
41279,9,TORQUE ONLINE,Setup,Cauda Longa,1,1,0,0,119.7000,0.0000,ativo,0E-8
41315,9,MONTILLA CONFECCOES,"","",1,2,1,2,285.2000,285.2000,ativo,1.00000000
42114,9,DANIEL QUEROZ ACESSORIOS,"","",36,38,27,27,4465.6800,3255.1800,ativo,0.72893266
46084,9,LOGOS,"","",7,7,3,3,4886.7200,2051.8600,ativo,0.41988491
10392,1,Gran Mercato,AAA,Cauda Longa,30,36,16,22,89704.7500,31982.1300,ativo,0.35652661
10501,7,Print Loja,A,Tecnologia,8,10,6,8,331.1100,236.7700,ativo,0.71507958
10817,5,SOS da Piscina,A,Cauda Longa,82,104,59,69,14271.4700,9943.5700,ativo,0.69674462
10910,1,Pontto Lavabo,A,Cauda Longa,32,44,29,40,8398.2100,7710.3500,ativo,0.91809445
10915,1,Lagos & Cia,A,Cauda Longa,2,5,1,1,815.8400,105.4800,ativo,0.12929006
11445,5,WELL STORE,A,Cauda Longa,3,3,0,0,825.2800,0.0000,ativo,0E-8
11449,1,Mais de Casa,A,Móveis,55,55,36,36,35021.9200,21014.9000,ativo,0.60004991
11494,1,Estevam Eletro Magazine,A,Cauda Longa,47,49,42,44,5027.1000,4563.6000,ativo,0.90779973
11578,9,Mania Virtual,AAA,Tecnologia,9645,12419,7877,10120,6086014.4800,4695588.6800,ativo,0.77153755
11649,4,Super Saudável,AAA,Cauda Longa,283,343,232,271,60691.7600,50655.8600,ativo,0.83464147
11964,2,Shopinfo,AAA,Tecnologia,771,774,379,381,2005656.8700,950605.6600,ativo,0.47396226
12005,8,PICK UPS BRASIL,A,Cauda Longa,2,2,2,2,657.3900,657.3900,ativo,1.00000000
12028,1,ABMIDIA,A,Cauda Longa,254,287,194,224,39116.5400,30194.4400,ativo,0.77190979
12076,8,GIFTCENTER,AA,Cauda Longa,195,204,141,145,142614.6600,78516.9800,ativo,0.55055336
12214,1,Ideamart,A,Cauda Longa,4,4,4,4,385.0500,385.0500,ativo,1.00000000
13948,5,Tamarindos,AAA,Cauda Longa,414,624,288,427,51362.8400,35011.9500,ativo,0.68165915
13969,8,HORIZONTE VIRTUAL,A,Cauda Longa,87,87,60,60,12130.9000,8203.3600,ativo,0.67623672
14070,1,Baby&Kids,AAA,Cauda Longa,508,532,421,440,146941.8100,117305.2200,ativo,0.79831071
14182,4,Ztime,A,Cauda Longa,23,23,19,19,8424.9500,6163.2000,ativo,0.73154143
14310,3,Bebê Enxovais,A,Cauda Longa,2,2,1,1,276.1300,226.6800,ativo,0.82091768
14333,4,R3P SHOP,A,Cauda Longa,65,91,48,71,6367.2500,4584.9200,ativo,0.72007853
14337,3,LiteraRUA,A,Cauda Longa,3,3,3,3,176.7400,176.7400,ativo,1.00000000
14342,6,Laura Baby,A,Cauda Longa,10,18,7,13,889.9800,651.4500,ativo,0.73198274
14368,1,ErgoLife,A,Cauda Longa,14,14,6,6,42260.0000,17650.0000,ativo,0.41765263
14385,7,Paramont,A,Cauda Longa,11,11,8,8,4294.1400,3109.1000,ativo,0.72403322
