idlojista,idsku,lojista,cluster,mundo,idcompra,qtd_sku,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,taxa_aprovacao
10138,1504071839,MegaMamute,AAA,Tecnologia,225612714,1,1,1,1,1,2245.0200,2245.0200,1.00000000
30976,6029973,10Estrela,AAA,Móveis,227660875,2,1,2,0,0,88.1200,0.0000,0E-8
30976,7463967,10Estrela,AAA,Móveis,227866786,4,4,4,4,4,739.4600,739.4600,1.00000000
30976,11614919,10Estrela,AAA,Móveis,229336751,12,12,12,10,10,3494.7400,2905.7800,0.83147244
30976,13545079,10Estrela,AAA,Móveis,226847467,1,1,1,1,1,156.0700,156.0700,1.00000000
30976,1500410436,10Estrela,AAA,Móveis,227118134,1,1,1,1,1,281.1600,281.1600,1.00000000
30976,1500451837,10Estrela,AAA,Móveis,228186478,1,1,1,1,1,828.7000,828.7000,1.00000000
30976,1500980937,10Estrela,AAA,Móveis,227199393,1,1,1,1,1,493.6800,493.6800,1.00000000
30976,1504233703,10Estrela,AAA,Móveis,225685533,4,4,4,3,3,345.0200,213.5800,0.61903658
30976,1504663635,10Estrela,AAA,Móveis,226434788,4,4,4,2,2,2349.9000,1153.7300,0.49096983
10138,1500266858,MegaMamute,AAA,Tecnologia,229592600,9,9,9,7,7,3457.1000,2717.1100,0.78595065
30976,2532298,10Estrela,AAA,Móveis,229542628,1,1,1,1,1,215.3800,215.3800,1.00000000
30976,4752308,10Estrela,AAA,Móveis,225590076,4,4,4,3,3,994.8100,755.9900,0.75993406
30976,9370906,10Estrela,AAA,Móveis,227661752,1,1,1,1,1,394.4200,394.4200,1.00000000
30976,11632783,10Estrela,AAA,Móveis,226477257,1,1,1,1,1,167.9000,167.9000,1.00000000
30976,12737091,10Estrela,AAA,Móveis,225953219,1,1,1,1,1,51.5300,51.5300,1.00000000
30976,13116038,10Estrela,AAA,Móveis,228163315,1,1,1,1,1,166.2700,166.2700,1.00000000
30976,13147598,10Estrela,AAA,Móveis,228786878,1,1,1,1,1,52.9500,52.9500,1.00000000
30976,13609950,10Estrela,AAA,Móveis,228621083,1,1,1,1,1,95.3000,95.3000,1.00000000
30976,1500410883,10Estrela,AAA,Móveis,227103023,2,2,2,1,1,141.9600,64.0600,0.45125387
30976,1500412112,10Estrela,AAA,Móveis,227558047,1,1,1,1,1,72.8200,72.8200,1.00000000
30976,1500594657,10Estrela,AAA,Móveis,226325666,8,8,8,6,6,3019.9900,2255.3300,0.74680049
30976,1501513335,10Estrela,AAA,Móveis,228883800,1,1,1,0,0,218.4200,0.0000,0E-8
30976,1501557356,10Estrela,AAA,Móveis,226389244,1,1,1,0,0,377.7900,0.0000,0E-8
30976,1501694373,10Estrela,AAA,Móveis,229675267,1,1,1,1,1,68.9000,68.9000,1.00000000
30976,1503482838,10Estrela,AAA,Móveis,226680516,2,2,2,1,1,752.7700,376.8700,0.50064429
30976,1504277137,10Estrela,AAA,Móveis,229334876,2,2,2,2,2,758.5400,758.5400,1.00000000
10138,1501924819,MegaMamute,AAA,Tecnologia,229609634,1,1,1,1,1,1292.9000,1292.9000,1.00000000
30976,10793220,10Estrela,AAA,Móveis,227804581,1,1,1,1,1,274.9000,274.9000,1.00000000
30976,12624377,10Estrela,AAA,Móveis,227488461,6,6,6,4,4,1800.2500,1190.8500,0.66149146
30976,13225982,10Estrela,AAA,Móveis,227074178,2,2,2,2,2,1172.7300,1172.7300,1.00000000
30976,13421449,10Estrela,AAA,Móveis,228094078,2,2,2,2,2,334.8900,334.8900,1.00000000
30976,14944811,10Estrela,AAA,Móveis,225388422,1,1,1,0,0,288.0700,0.0000,0E-8
30976,1503345596,10Estrela,AAA,Móveis,228023240,2,1,2,2,1,104.1200,104.1200,1.00000000
30976,1504404131,10Estrela,AAA,Móveis,225437833,1,1,1,1,1,544.1500,544.1500,1.00000000
10138,13792836,MegaMamute,AAA,Tecnologia,225368222,3,3,3,3,3,5081.1600,5081.1600,1.00000000
10138,1503423483,MegaMamute,AAA,Tecnologia,227757815,378,367,378,195,191,714321.9200,367854.3400,0.51496997
10138,1504321281,MegaMamute,AAA,Tecnologia,226874343,9,9,9,5,5,4121.1000,2289.5000,0.55555556
30976,7571644,10Estrela,AAA,Móveis,227588082,3,3,3,2,2,454.6100,304.0100,0.66872704
30976,10184631,10Estrela,AAA,Móveis,226188038,1,1,1,1,1,69.2000,69.2000,1.00000000
30976,10431080,10Estrela,AAA,Móveis,229545570,1,1,1,1,1,112.9200,112.9200,1.00000000
30976,10817203,10Estrela,AAA,Móveis,228181049,1,1,1,0,0,220.6500,0.0000,0E-8
30976,12068122,10Estrela,AAA,Móveis,227701143,1,1,1,1,1,235.8700,235.8700,1.00000000
30976,13351182,10Estrela,AAA,Móveis,229644949,1,1,1,1,1,99.9000,99.9000,1.00000000
30976,13453245,10Estrela,AAA,Móveis,227267822,1,1,1,0,0,1032.3800,0.0000,0E-8
30976,1500557833,10Estrela,AAA,Móveis,228384938,7,7,7,4,4,2220.2200,1270.8900,0.57241625
30976,1503420542,10Estrela,AAA,Móveis,225449362,3,3,3,3,3,318.6700,318.6700,1.00000000
30976,1504016307,10Estrela,AAA,Móveis,226900570,25,25,25,18,18,17485.8700,12784.5700,0.73113720
30976,182968,10Estrela,AAA,Móveis,227542225,4,4,4,3,3,2196.3600,1625.2600,0.73997887
30976,6373356,10Estrela,AAA,Móveis,227876859,21,21,21,15,15,4562.4400,3309.0400,0.72527858
30976,6658219,10Estrela,AAA,Móveis,229576271,1,1,1,1,1,853.7200,853.7200,1.00000000
30976,7794115,10Estrela,AAA,Móveis,226327611,1,1,1,1,1,184.9300,184.9300,1.00000000
30976,9051016,10Estrela,AAA,Móveis,227879834,1,1,1,0,0,124.2000,0.0000,0E-8
30976,10823240,10Estrela,AAA,Móveis,227995651,1,1,1,1,1,912.5700,912.5700,1.00000000
30976,13268660,10Estrela,AAA,Móveis,227478358,1,1,1,1,1,205.8300,205.8300,1.00000000
30976,14943928,10Estrela,AAA,Móveis,229649303,1,1,1,1,1,191.6100,191.6100,1.00000000
30976,1502312089,10Estrela,AAA,Móveis,227714937,2,2,2,1,1,942.9800,471.4900,0.50000000
30976,1503274050,10Estrela,AAA,Móveis,225705056,1,1,1,1,1,245.7300,245.7300,1.00000000
30976,1503355461,10Estrela,AAA,Móveis,227161679,1,1,1,0,0,77.9000,0.0000,0E-8
30976,1504816333,10Estrela,AAA,Móveis,228402890,1,1,1,1,1,729.4300,729.4300,1.00000000
30976,9588308,10Estrela,AAA,Móveis,226026073,1,1,1,1,1,78.4600,78.4600,1.00000000
30976,12512023,10Estrela,AAA,Móveis,229447654,11,11,11,7,7,3229.3500,1982.2200,0.61381393
30976,14944484,10Estrela,AAA,Móveis,227995901,2,2,2,1,1,1127.3200,565.4600,0.50159671
30976,1500423941,10Estrela,AAA,Móveis,228495467,3,3,3,1,1,4204.6600,1402.9200,0.33365837
30976,1502754299,10Estrela,AAA,Móveis,228905027,1,1,1,1,1,280.2100,280.2100,1.00000000
30976,1502900272,10Estrela,AAA,Móveis,225644089,14,14,14,9,9,2353.6300,1446.5600,0.61460807
30976,1503640743,10Estrela,AAA,Móveis,225542892,2,2,2,1,1,295.5700,153.6400,0.51980918
10138,10885130,MegaMamute,AAA,Tecnologia,229597503,5,5,5,2,2,7995.6600,3198.0400,0.39997198
30976,182969,10Estrela,AAA,Móveis,227869853,1,1,1,1,1,547.3100,547.3100,1.00000000
30976,7018379,10Estrela,AAA,Móveis,228753944,1,1,1,1,1,125.9000,125.9000,1.00000000
30976,12627191,10Estrela,AAA,Móveis,225826767,1,1,1,1,1,240.2900,240.2900,1.00000000
30976,13537076,10Estrela,AAA,Móveis,225421807,2,2,2,2,2,139.8000,139.8000,1.00000000
30976,1500411775,10Estrela,AAA,Móveis,228772408,1,1,1,1,1,1285.2300,1285.2300,1.00000000
30976,1500939305,10Estrela,AAA,Móveis,227335512,1,1,1,1,1,102.9600,102.9600,1.00000000
30976,10772186,10Estrela,AAA,Móveis,226864129,2,2,2,2,2,549.7800,549.7800,1.00000000
30976,11350855,10Estrela,AAA,Móveis,226376834,1,1,1,0,0,743.9000,0.0000,0E-8
30976,11462729,10Estrela,AAA,Móveis,226327912,7,5,7,7,5,2396.9200,2396.9200,1.00000000
30976,12891643,10Estrela,AAA,Móveis,228515652,5,5,5,2,2,751.5300,301.3800,0.40102192
30976,13116083,10Estrela,AAA,Móveis,225837274,1,1,1,0,0,177.8400,0.0000,0E-8
30976,14231072,10Estrela,AAA,Móveis,225365508,2,2,2,2,2,907.5800,907.5800,1.00000000
30976,15058278,10Estrela,AAA,Móveis,225444381,1,1,1,0,0,662.3100,0.0000,0E-8
30976,1500505535,10Estrela,AAA,Móveis,227715038,1,1,1,0,0,1976.9700,0.0000,0E-8
30976,1500816340,10Estrela,AAA,Móveis,229654690,1,1,1,1,1,374.0700,374.0700,1.00000000
30976,1502992057,10Estrela,AAA,Móveis,229452174,9,8,9,4,4,944.9300,417.6300,0.44196925
30976,1504011078,10Estrela,AAA,Móveis,227209972,2,2,2,2,2,3023.7000,3023.7000,1.00000000
10138,14052893,MegaMamute,AAA,Tecnologia,225835802,3,2,3,3,2,2381.2200,2381.2200,1.00000000
10138,15398303,MegaMamute,AAA,Tecnologia,226862317,7,6,7,7,6,1415.2000,1415.2000,1.00000000
10138,1504534588,MegaMamute,AAA,Tecnologia,225467703,3,3,3,2,2,1348.4800,896.9100,0.66512666
30976,1956680,10Estrela,AAA,Móveis,229213454,2,2,2,1,1,177.0800,90.6200,0.51174610
30976,7518660,10Estrela,AAA,Móveis,227334057,2,2,2,1,1,235.8600,117.9300,0.50000000
30976,7939239,10Estrela,AAA,Móveis,226503283,1,1,1,1,1,81.4700,81.4700,1.00000000
30976,7956779,10Estrela,AAA,Móveis,226692732,1,1,1,1,1,185.2200,185.2200,1.00000000
30976,10817180,10Estrela,AAA,Móveis,227617297,1,1,1,0,0,308.3000,0.0000,0E-8
30976,12698570,10Estrela,AAA,Móveis,228666728,1,1,1,1,1,769.1500,769.1500,1.00000000
30976,14944293,10Estrela,AAA,Móveis,225589724,1,1,1,0,0,1998.7100,0.0000,0E-8
30976,1500364853,10Estrela,AAA,Móveis,226434414,1,1,1,1,1,58.1700,58.1700,1.00000000
30976,1504053148,10Estrela,AAA,Móveis,227292846,3,3,3,3,3,4354.7000,4354.7000,1.00000000
30976,10939611,10Estrela,AAA,Móveis,228150690,1,1,1,1,1,79.9800,79.9800,1.00000000
30976,14027116,10Estrela,AAA,Móveis,225452250,1,1,1,0,0,514.9000,0.0000,0E-8
30976,1500358452,10Estrela,AAA,Móveis,229506730,1,1,1,1,1,657.8200,657.8200,1.00000000
30976,1500508348,10Estrela,AAA,Móveis,227812143,5,5,5,3,3,1490.7700,895.7100,0.60083715
30976,1500943750,10Estrela,AAA,Móveis,229290663,1,1,1,1,1,301.5700,301.5700,1.00000000
30976,1503215406,10Estrela,AAA,Móveis,227705510,1,1,1,1,1,163.2700,163.2700,1.00000000
30976,1503496667,10Estrela,AAA,Móveis,229149931,3,3,3,3,3,130.8400,130.8400,1.00000000
30976,1504573710,10Estrela,AAA,Móveis,228639503,1,1,1,1,1,103.2800,103.2800,1.00000000
30976,1504573728,10Estrela,AAA,Móveis,228457806,1,1,1,0,0,120.7400,0.0000,0E-8
30976,6372052,10Estrela,AAA,Móveis,228905262,1,1,1,1,1,67.3000,67.3000,1.00000000
30976,6611342,10Estrela,AAA,Móveis,225875677,1,1,1,1,1,706.3800,706.3800,1.00000000
30976,6689048,10Estrela,AAA,Móveis,226864076,1,1,1,0,0,61.9000,0.0000,0E-8
30976,7402595,10Estrela,AAA,Móveis,228529471,2,2,2,2,2,335.9900,335.9900,1.00000000
30976,10379974,10Estrela,AAA,Móveis,225527467,1,1,1,1,1,778.6000,778.6000,1.00000000
30976,11730580,10Estrela,AAA,Móveis,225420611,1,1,1,1,1,459.4100,459.4100,1.00000000
30976,11870468,10Estrela,AAA,Móveis,226945361,2,2,2,2,2,252.7400,252.7400,1.00000000
30976,12662074,10Estrela,AAA,Móveis,227875978,2,2,2,2,2,428.1200,428.1200,1.00000000
30976,14944280,10Estrela,AAA,Móveis,228672499,1,1,1,1,1,58.8600,58.8600,1.00000000
30976,1501459888,10Estrela,AAA,Móveis,227094918,1,1,1,1,1,103.9000,103.9000,1.00000000
