idlojista,DtCriacaoProtocolo,DtFechamentoProtocolo,QtProtocolo,VrTotalProtocolo,VrTotalProtocoloAbsoluto,QtProtocoloAberto,QtProtocoloFechado,QtProtocoloSemResposta24Horas,QtProtocoloSemResposta48Horas,QtProtocoloReclamacao,QtProtocoloAbertoReclamacao,VrTotalProtocoloReclamacao,VrTotalProtocoloReclamacaoAbsoluto,QtTotalRecontato,QtTotalCanalEspecial,QtTotalFilaMarketPlace,QtTotalFilaLojista,TxReclamacao,DhAtualizacao,year_partition,month_partition,day_partition
30976,2020-08-18,2020-09-09,3,-1043.79,1717.03,0,3,0,0,2,0,-327.29,1000.53,7,0,1,0,0.6667,2020-10-05T17:00:34.520+0000,2020,08,18
30976,2020-09-10,2020-09-22,12,2194.51,4359.47,0,12,0,0,5,0,2185.08,2185.08,3,1,7,1,0.4167,2020-10-05T17:00:34.520+0000,2020,09,10
30976,2020-09-06,2020-09-14,1,275.22,275.22,0,1,0,0,1,0,275.22,275.22,1,1,0,1,1,2020-10-05T17:00:34.520+0000,2020,09,06
30976,2020-09-18,2020-09-23,9,3758.83,3758.83,0,9,0,0,9,0,3758.83,3758.83,6,0,7,1,1,2020-10-05T17:00:34.520+0000,2020,09,18
30976,2020-07-30,2020-09-12,1,-267.27,267.27,0,1,0,0,1,0,-267.27,267.27,3,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,07,30
30976,2020-09-18,2020-09-21,4,352.95,732.57,0,4,0,0,4,0,352.95,732.57,0,1,2,1,1,2020-10-05T17:00:34.520+0000,2020,09,18
30976,2020-08-08,2020-09-04,1,-354.7,354.7,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,08
30976,2020-09-08,2020-09-25,3,-3303.47,3959.27,0,3,0,0,1,0,-3211.98,3211.98,13,0,1,0,0.3333,2020-10-05T17:00:34.520+0000,2020,09,08
30976,2020-08-14,2020-08-15,1,394.07,394.07,0,1,0,0,1,0,394.07,394.07,4,0,0,1,1,2020-10-05T17:00:34.520+0000,2020,08,14
30976,2020-09-17,2020-09-25,9,1943.35,2451.15,0,9,0,0,5,0,1651.64,1651.64,5,0,6,2,0.5556,2020-10-05T17:00:34.520+0000,2020,09,17
30976,2020-08-27,2020-08-28,1,2098.13,2098.13,0,1,0,0,1,0,2098.13,2098.13,4,1,0,1,1,2020-10-05T17:00:34.520+0000,2020,08,27
30976,2020-08-18,2020-08-20,1,-171.73,171.73,0,1,0,0,1,0,-171.73,171.73,1,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,18
30976,2020-09-07,2020-09-30,1,-281.71,281.71,0,1,0,0,1,0,-281.71,281.71,0,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,09,07
30976,2020-09-15,2020-09-28,4,1096.32,1096.32,0,4,0,0,3,0,649.39,649.39,7,0,4,0,0.75,2020-10-05T17:00:34.520+0000,2020,09,15
30976,2020-09-23,2020-09-25,4,515,1224.4,0,4,0,0,4,0,515,1224.4,0,1,1,1,1,2020-10-05T17:00:34.520+0000,2020,09,23
30976,2020-08-17,2020-09-04,2,-26.22,1070.02,0,2,0,0,1,0,521.9,521.9,3,0,1,0,0.5,2020-10-05T17:00:34.520+0000,2020,08,17
30976,2020-08-27,2020-09-16,3,-220.64,1839.12,0,3,0,0,3,0,-220.64,1839.12,8,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,27
30976,2020-09-01,2020-09-18,10,-2379.41,3090.83,0,10,0,0,4,0,-143.44,854.86,12,0,3,0,0.4,2020-10-05T17:00:34.520+0000,2020,09,01
30976,2020-09-05,2020-09-18,4,4145.23,4385.03,0,4,0,0,3,0,4265.13,4265.13,5,0,4,0,0.75,2020-10-05T17:00:34.520+0000,2020,09,05
30976,2020-08-17,2020-09-09,2,-956.24,956.24,0,2,0,0,1,0,-741.86,741.86,2,0,0,0,0.5,2020-10-05T17:00:34.520+0000,2020,08,17
30976,2020-08-28,2020-09-09,1,114.64,114.64,0,1,0,0,0,0,0,0,3,0,0,1,0,2020-10-05T17:00:34.520+0000,2020,08,28
30976,2020-08-30,2020-09-08,1,335.05,335.05,0,1,0,0,1,0,335.05,335.05,2,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,30
30976,2020-09-02,2020-09-24,2,-2.41,1387.81,0,2,0,0,2,0,-2.41,1387.81,5,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,09,02
30976,2020-08-13,2020-09-09,2,-50,936.92,0,2,0,0,2,0,-50,936.92,3,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,13
30976,2020-07-10,2020-09-17,1,-87.19,87.19,0,1,0,0,1,0,-87.19,87.19,11,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,07,10
30976,2020-08-19,2020-09-15,2,147.25,944.03,0,2,0,0,2,0,147.25,944.03,7,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,19
30976,2020-08-17,2020-09-19,1,-567.15,567.15,0,1,0,0,1,0,-567.15,567.15,4,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,17
30976,2020-09-08,2020-09-29,1,64.14,64.14,0,1,0,0,0,0,0,0,0,0,1,0,0,2020-10-05T17:00:34.520+0000,2020,09,08
30976,2020-08-31,2020-09-11,3,1250.44,1250.44,0,3,0,0,0,0,0,0,2,0,2,0,0,2020-10-05T17:00:34.520+0000,2020,08,31
30976,2020-08-29,2020-09-14,4,1286.29,1286.29,0,4,0,0,3,0,836.39,836.39,1,0,2,0,0.75,2020-10-05T17:00:34.520+0000,2020,08,29
30976,2020-09-01,2020-09-23,6,-662.75,1672.91,0,6,0,0,5,0,-252.85,1263.01,5,0,1,0,0.8333,2020-10-05T17:00:34.520+0000,2020,09,01
30976,2020-08-29,2020-09-10,5,1164.43,1743.93,0,5,0,0,0,0,0,0,9,0,3,0,0,2020-10-05T17:00:34.520+0000,2020,08,29
30976,2020-07-27,2020-09-16,1,-422.9,422.9,0,1,0,0,1,0,-422.9,422.9,6,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,07,27
30976,2020-08-30,2020-09-10,1,-117.95,117.95,0,1,0,0,0,0,0,0,2,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,30
30976,2020-09-24,2020-09-24,75,23217.93,39514.09,0,75,0,0,19,0,4445.14,8767.06,0,5,0,0,0.2533,2020-10-05T17:00:34.520+0000,2020,09,24
30976,2020-08-22,2020-08-26,1,-216.81,216.81,0,1,0,0,1,0,-216.81,216.81,3,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,22
30976,2020-09-19,null,2,1004.24,1004.24,2,0,2,1,1,1,278.52,278.52,4,0,0,2,0.5,2020-10-05T17:00:34.520+0000,2020,09,19
30976,2020-09-02,2020-09-02,59,16028.17,29636.23,0,59,0,0,10,0,4769.15,4769.15,0,1,1,0,0.1695,2020-10-05T17:00:34.520+0000,2020,09,02
30976,2020-09-13,2020-09-22,2,-1244.98,1244.98,0,2,0,0,1,0,-486.78,486.78,4,0,0,0,0.5,2020-10-05T17:00:34.520+0000,2020,09,13
30976,2020-08-14,2020-09-14,1,-568.64,568.64,0,1,0,0,0,0,0,0,3,1,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,14
30976,2020-09-03,2020-09-04,2,2083.45,2083.45,0,2,0,0,1,0,1283.56,1283.56,0,0,1,0,0.5,2020-10-05T17:00:34.520+0000,2020,09,03
30976,2020-09-10,2020-09-30,3,610.51,610.51,0,3,0,0,3,0,610.51,610.51,1,0,0,1,1,2020-10-05T17:00:34.520+0000,2020,09,10
30976,2020-09-27,2020-09-29,1,-642.61,642.61,0,1,0,0,1,0,-642.61,642.61,0,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,09,27
30976,2020-08-18,2020-09-04,1,-514.19,514.19,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,18
30976,2020-07-31,2020-09-04,1,600.35,600.35,0,1,0,0,0,0,0,0,1,0,1,0,0,2020-10-05T17:00:34.520+0000,2020,07,31
30976,2020-09-10,2020-09-17,2,-1180.5,1180.5,0,2,0,0,1,0,-868.6,868.6,2,0,0,0,0.5,2020-10-05T17:00:34.520+0000,2020,09,10
30976,2020-08-05,2020-09-18,1,-74.53,74.53,0,1,0,0,0,0,0,0,1,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,05
30976,2020-09-10,2020-09-11,2,807.59,2165.75,0,2,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,09,10
30976,2020-08-08,2020-09-13,1,-373.82,373.82,0,1,0,0,1,0,-373.82,373.82,3,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,08
30976,2020-09-10,2020-09-24,5,2455.29,3543.09,0,5,0,0,3,0,1792.92,2880.72,9,1,3,0,0.6,2020-10-05T17:00:34.520+0000,2020,09,10
