nr_id_unidade_negocio;nr_orders;nr_product_sku;nr_item_sku;dt_orders;nr_canal_venda;ds_status;nr_id_lojista;qty_item;vl_item;vl_product_unit;vl_discounting;vl_product_discounting;vl_freight_discounting;vl_freight
1;225347747;10395602;10395602;20200801;7;CAN;30976;1;249;NULL;0;249;"40,99";"40,99"
1;225348367;10928142;10928142;20200801;3;ROT;30976;1;"201,9";NULL;0;"201,9";"56,47";"56,47"
1;225348736;17766;17766;20200801;3;PAP;30976;1;"272,9";NULL;0;"272,9";"46,99";"46,99"
1;225349223;1504453270;1504453270;20200801;18;ENT;30976;1;"157,9";NULL;0;"157,9";"21,7";"21,7"
1;225349965;1502887621;1502887621;20200801;7;IVE;30976;1;"229,9";NULL;0;"229,9";210;210
1;225350949;13293550;13293550;20200801;18;ENT;30976;1;"88,9";NULL;0;"88,9";"15,73";"15,73"
1;225351984;2420493;2420493;20200801;18;ENT;30976;1;"118,9";NULL;0;"118,9";15;15
1;225357584;10387927;10387927;20200801;3;TRN;30976;1;"219,9";NULL;0;"219,9";"21,78";"21,78"
1;225359894;14187598;14187598;20200801;18;ENT;30976;1;"91,9";NULL;0;"91,9";"16,48";"16,48"
1;225363542;12770158;12770158;20200801;7;CAN;30976;1;"54,9";NULL;0;"54,9";"15,33";"15,33"
1;225365508;14231072;14231072;20200801;18;TRN;30976;1;389;NULL;0;389;"80,88";"80,88"
1;225369937;14187579;14187579;20200801;18;IVE;30976;1;"91,9";NULL;0;"91,9";"26,68";"26,68"
1;225374858;2336534;2336534;20200801;7;IVE;30976;1;1999;NULL;0;1999;"120,31";"120,31"
1;225375686;12990594;12990594;20200801;18;TRN;30976;1;"91,9";NULL;0;"91,9";"26,68";"26,68"
1;225379598;12512023;12512023;20200801;7;PVC;30976;1;"227,9";NULL;0;"227,9";120;120
1;225395781;11503937;11503937;20200801;3;CAN;30976;1;"168,9";NULL;0;"168,9";58;58
1;225408321;14596229;14596229;20200801;18;ENT;30976;1;"114,9";NULL;0;"114,9";"11,66";"11,66"
1;225410107;12758397;12758397;20200801;18;TRN;30976;1;"571,9";NULL;0;"571,9";"198,25";"198,25"
1;225416382;6659508;6659508;20200801;18;TRN;30976;1;"44,9";NULL;0;"44,9";"19,86";"19,86"
1;225420611;11730580;11730580;20200801;3;IVE;30976;1;"388,9";NULL;0;"388,9";"70,51";"70,51"
1;225421921;10184807;10184807;20200801;18;CAN;30976;1;"57,9";NULL;0;"57,9";"15,73";"15,73"
1;225424842;1504384441;1504384441;20200801;7;PAP;30976;1;"123,9";NULL;0;"123,9";"36,83";"36,83"
1;225436842;15434687;15434687;20200801;3;PAP;30976;1;"1676,9";NULL;0;"1676,9";"74,36";"74,36"
1;225440228;11527272;11527272;20200801;7;TRN;30976;1;"359,9";NULL;0;"359,9";"57,83";"57,83"
1;225444294;13887920;13887920;20200801;7;ENT;30976;1;"279,9";NULL;0;"279,9";"16,48";"16,48"
1;225445355;13887920;13887920;20200801;18;ENT;30976;1;"279,9";NULL;0;"279,9";"20,07";"20,07"
1;225446605;7498785;7498785;20200801;18;PVC;30976;1;239;NULL;0;239;"67,66";"67,66"
1;225448405;4026276;4026276;20200801;7;CAN;30976;1;"469,9";NULL;0;"469,9";"26,68";"26,68"
1;225448487;10184788;10184788;20200801;18;ENT;30976;1;"74,9";NULL;0;"74,9";"15,73";"15,73"
1;225448787;1956696;1956696;20200801;7;ENT;30976;1;"106,9";NULL;0;"106,9";"20,3";"20,3"
1;225450591;12036317;12036317;20200801;3;ENT;30976;1;"347,9";NULL;0;"347,9";"26,96";"26,96"
1;225459049;451892;451892;20200801;7;PVC;30976;4;"99,6";NULL;0;"99,6";16;16
1;225462164;10023692;10023692;20200801;7;CAN;30976;1;"321,9";NULL;0;"321,9";"54,58";"54,58"
1;225462784;2336534;2336534;20200801;7;ETR;30976;1;1999;NULL;0;1999;"147,07";"147,07"
1;225463741;1501522168;1501522168;20200801;3;ENT;30976;1;"43,9";NULL;0;"43,9";"7,81";"7,81"
1;225464014;2394271;2394271;20200801;18;IVE;30976;1;99;NULL;0;99;"35,64";"35,64"
1;225464283;1501928660;1501928660;20200801;18;PVC;30976;1;"64,9";NULL;0;"64,9";"10,66";"10,66"
1;225467994;1500820683;1500820683;20200802;18;PVC;30976;1;"124,9";NULL;0;"124,9";"53,51";"53,51"
1;225473592;13293511;13293511;20200802;7;ENT;30976;1;"89,9";NULL;0;"89,9";"19,78";"19,78"
1;225479141;13973535;13973535;20200802;7;CAN;30976;1;"2512,9";NULL;0;"2512,9";"30,64";"30,64"
1;225484952;464272;464272;20200802;18;CAN;30976;1;"27,9";NULL;0;"27,9";"11,39";"11,39"
1;225491031;2437763;2437763;20200802;3;PAP;30976;2;"303,8";NULL;0;"303,8";27;27
1;225491349;12037433;12037433;20200802;3;ENT;30976;1;449;NULL;0;449;"16,48";"16,48"
1;225491621;14187579;14187579;20200802;18;ENT;30976;1;"91,9";NULL;0;"91,9";"24,09";"24,09"
1;225491792;1500056857;1500056857;20200802;3;CAN;30976;1;"138,9";NULL;0;"138,9";"29,24";"29,24"
1;225492863;6347258;6347258;20200802;3;ENT;30976;1;"779,9";NULL;0;"779,9";"16,48";"16,48"
1;225494542;14009580;14009580;20200802;3;PAP;30976;1;"110,9";NULL;0;"110,9";"21,76";"21,76"
1;225495650;12701906;12701906;20200802;18;PVC;30976;1;"353,9";NULL;0;"353,9";"43,02";"43,02"
1;225503652;12722980;12722980;20200802;3;ENT;30976;1;"118,9";NULL;0;"118,9";32;32
1;225507664;1504490172;1504490172;20200802;3;PAP;30976;1;"539,9";NULL;0;"539,9";"35,63";"35,63"
1;225507945;10885108;10885108;20200802;7;TRN;30976;1;"27,6851";NULL;0;"27,6851";"4,7249";"4,7249"
1;225507945;10885108;10885108;20200802;7;TRN;30976;1;"88,2149";NULL;0;"88,2149";"15,0551";"15,0551"
1;225508587;1500442703;1500442703;20200802;7;TRN;30976;1;"168,9";NULL;0;"168,9";"45,25";"45,25"
1;225511482;11117334;11117334;20200802;7;ENT;30976;1;"92,9";NULL;0;"92,9";"10,43";"10,43"
1;225514114;2336534;2336534;20200802;3;ENT;30976;1;1999;NULL;0;1999;"229,67";"229,67"
1;225515938;4026276;4026276;20200802;18;TRN;30976;1;"469,9";NULL;0;"469,9";"26,87";"26,87"
1;225516929;11614919;11614919;20200802;7;ROT;30976;1;"269,9";NULL;0;"269,9";"24,41";"24,41"
1;225517117;9072565;9072565;20200802;18;CAN;30976;1;"88,9";NULL;0;"88,9";"10,18";"10,18"
1;225517158;14187579;14187579;20200802;3;TRN;30976;1;"91,9";NULL;0;"91,9";"52,47";"52,47"
1;225526478;4026276;4026276;20200802;7;ENT;30976;1;"469,9";NULL;0;"469,9";"29,23";"29,23"
1;225527581;1500444411;1500444411;20200802;7;ENT;30976;1;"495,9";NULL;0;"495,9";"69,69";"69,69"
1;225529530;3829491;3829491;20200802;7;ENT;30976;1;"69,9";NULL;0;"69,9";"9,56";"9,56"
1;225531250;1502313101;1502313101;20200802;18;ENT;30976;1;"359,9";NULL;0;"359,9";"7,19";"7,19"
1;225536209;1500442703;1500442703;20200802;7;ENT;30976;1;"168,9";NULL;0;"168,9";"30,02";"30,02"
1;225537119;11527272;11527272;20200802;18;ENT;30976;1;"359,9";NULL;0;"359,9";"71,34";"71,34"
1;225537851;13887920;13887920;20200802;18;CAN;30976;1;"279,9";NULL;0;"279,9";"78,92";"78,92"
1;225538641;14244675;14244675;20200802;18;PVC;30976;1;"139,9";NULL;0;"139,9";"28,21";"28,21"
1;225539929;13887920;13887920;20200802;18;FIS;30976;1;"279,9";NULL;0;"279,9";"54,31";"54,31"
1;225543232;1504005742;1504005742;20200802;3;PVC;30976;1;"649,9";NULL;0;"649,9";"76,56";"76,56"
1;225545467;7498902;7498902;20200803;7;CAN;30976;1;249;NULL;0;249;46;46
1;225545835;13887920;13887920;20200803;3;PVC;30976;1;"279,9";NULL;0;"279,9";"29,61";"29,61"
1;225545903;7498785;7498785;20200803;7;CAN;30976;1;239;NULL;0;239;"40,99";"40,99"
1;225546287;21709;21709;20200803;7;ENT;30976;2;"179,8";NULL;0;"179,8";"87,64";"87,64"
1;225551471;14187598;14187598;20200803;18;TRN;30976;1;"91,9";NULL;0;"91,9";"29,61";"29,61"
1;225552541;13479337;13479337;20200803;18;CAN;30976;1;"216,9608";NULL;0;"216,9608";"18,4892";"18,4892"
1;225552541;13479337;13479337;20200803;18;CAN;30976;1;"962,9392";NULL;0;"962,9392";"82,0608";"82,0608"
1;225553465;14964928;14964928;20200803;7;PAP;30976;1;489;NULL;0;489;"32,19";"32,19"
1;225554012;13293511;13293511;20200803;7;ENT;30976;1;"89,9";NULL;0;"89,9";"16,64";"16,64"
1;225554282;14187579;14187579;20200803;7;TRN;30976;1;"91,9";NULL;0;"91,9";"27,52";"27,52"
1;225556614;12964134;12964134;20200803;18;ENT;30976;1;"107,9";NULL;0;"107,9";"10,63";"10,63"
1;225560879;3829496;3829496;20200803;7;ENT;30976;1;"77,9";NULL;0;"77,9";"15,33";"15,33"
1;225562682;3532256;3532256;20200803;18;PAP;30976;1;"662,9";NULL;0;"662,9";"129,45";"129,45"
1;225568040;10184807;10184807;20200803;18;CAN;30976;1;"74,9";NULL;0;"74,9";"15,73";"15,73"
1;225568475;47241;47241;20200803;18;ENT;30976;1;"44,9";NULL;0;"44,9";17;17
1;225568588;12037433;12037433;20200803;3;ENT;30976;1;449;NULL;0;449;"24,09";"24,09"
1;225572907;1500444411;1500444411;20200803;3;CAN;30976;1;"495,9";NULL;0;"495,9";"114,52";"114,52"
1;225574051;10023628;10023628;20200803;18;ENT;30976;2;"159,8";NULL;0;"159,8";"37,04";"37,04"
1;225579036;12921649;12921649;20200803;3;ETR;30976;1;"305,9";NULL;0;"305,9";"87,25";"87,25"
1;225580701;1503500397;1503500397;20200803;7;CAN;30976;1;"64,9";NULL;0;"64,9";17;17
1;225582219;12702173;12702173;20200803;18;PVC;30976;1;"89,9";NULL;0;"89,9";"34,65";"34,65"
1;225589621;11956866;11956866;20200803;7;CAN;30976;2;"61,8";NULL;0;"61,8";35;35
1;225589724;14944293;14944293;20200803;18;CAN;30976;1;"1906,9";NULL;0;"1906,9";"91,81";"91,81"
1;225590299;1501872685;1501872685;20200803;18;ETR;30976;1;"56,9";NULL;0;"56,9";"22,37";"22,37"
1;225593076;10378786;10378786;20200803;3;ENT;30976;1;"93,9";NULL;0;"93,9";"24,82";"24,82"
1;225595027;1504233735;1504233735;20200803;18;PAP;30976;1;"106,9";NULL;0;"106,9";"15,33";"15,33"
1;225595578;17766;17766;20200803;7;PAP;30976;1;"272,9";NULL;0;"272,9";"10,63";"10,63"
1;225597048;1502888118;1502888118;20200803;7;ENT;30976;1;"84,9";NULL;0;"84,9";"18,95";"18,95"
1;225608067;14944801;14944801;20200803;18;PAP;30976;1;"498,9";NULL;0;"498,9";"76,94";"76,94"
1;225610546;6033639;6033639;20200803;18;ENT;30976;1;"93,9";NULL;0;"93,9";"15,73";"15,73"
1;225614031;12604188;12604188;20200803;9;ENT;30976;2;"87,8";NULL;0;"87,8";40;40
1;225617990;14187598;14187598;20200803;18;TRN;30976;1;"91,9";NULL;0;"91,9";"54,71";"54,71"
1;225620797;6609994;6609994;20200803;18;ROT;30976;1;"30,9";NULL;0;"30,9";"8,15";"8,15"
1;225627593;12037433;12037433;20200803;3;ENT;30976;1;449;NULL;0;449;"24,09";"24,09"
1;225628065;12770158;12770158;20200803;3;PVC;30976;1;"54,9";NULL;0;"54,9";20;20
1;225629550;19522;19522;20200803;7;PAP;30976;1;"49,9";NULL;0;"49,9";"10,63";"10,63"
1;225635231;1502275263;1502275263;20200803;7;ENT;30976;1;"160,9";NULL;0;"160,9";"15,2";"15,2"
1;225636630;1500411826;1500411826;20200803;3;ENT;30976;1;249;NULL;0;249;28;28
1;225637989;14382950;14382950;20200803;3;TRN;30976;1;"93,9";NULL;0;"93,9";"19,91";"19,91"
1;225641604;8018455;8018455;20200803;18;PVC;30976;1;"149,9";NULL;0;"149,9";"20,24";"20,24"
1;225644460;10373196;10373196;20200803;7;ENT;30976;1;"57,9";NULL;0;"57,9";"15,33";"15,33"
1;225645860;5261556;5261556;20200803;18;ENT;30976;1;"52,9";NULL;0;"52,9";"15,31";"15,31"
1;225651856;12770158;12770158;20200803;18;ENT;30976;1;"54,9";NULL;0;"54,9";"9,56";"9,56"
1;225652304;1500542161;1500542161;20200803;3;TRN;30976;1;"105,9";NULL;0;"105,9";"22,91";"22,91"
1;225659469;1503640699;1503640699;20200803;18;ETR;30976;1;"204,9";NULL;0;"204,9";"84,73";"84,73"
1;225659675;12830639;12830639;20200803;9;PAP;30976;1;"948,9";NULL;0;"948,9";"84,5";"84,5"
1;225661079;1500877887;1500877887;20200803;7;TRN;30976;1;"151,9";NULL;0;"151,9";24;24
1;225664037;14964928;14964928;20200803;18;TRD;30976;1;489;NULL;0;489;"41,83";"41,83"
1;225664180;13418054;13418054;20200803;18;CAN;30976;1;"62,9";NULL;0;"62,9";"44,01";"44,01"
1;225665615;1500442703;1500442703;20200803;18;PVC;30976;1;"168,9";NULL;0;"168,9";"28,8";"28,8"
1;225672660;11614919;11614919;20200803;3;PVC;30976;1;"269,9";NULL;0;"269,9";"16,81";"16,81"
1;225673602;10184807;10184807;20200803;3;CAN;30976;1;"74,9";NULL;0;"74,9";"20,09";"20,09"
1;225675704;13483796;13483796;20200803;7;PAP;30976;1;"185,9";NULL;0;"185,9";"39,54";"39,54"
1;225676470;2213818;2213818;20200803;3;TRN;30976;1;"144,9";NULL;0;"144,9";"20,97";"20,97"
1;225676572;14244675;14244675;20200803;7;TRN;30976;1;"139,9";NULL;0;"139,9";"31,85";"31,85"
1;225684537;12596244;12596244;20200803;3;PAP;30976;1;"298,9";NULL;0;"298,9";"73,85";"73,85"
1;225685533;1504233703;1504233703;20200803;7;PAP;30976;1;"59,9";NULL;0;"59,9";"8,94";"8,94"
1;225686090;1501657059;1501657059;20200803;3;PAP;30976;1;"68,9";NULL;0;"68,9";"14,05";"14,05"
1;225686154;13483796;13483796;20200803;7;IVE;30976;1;"185,9";NULL;0;"185,9";"109,38";"109,38"
1;225686860;1500862725;1500862725;20200803;18;CAN;30976;1;"64,9";NULL;0;"64,9";"21,1";"21,1"
1;225687720;7906859;7906859;20200803;18;ENT;30976;1;"139,9";NULL;0;"139,9";"20,29";"20,29"
1;225692149;1503006785;1503006785;20200804;18;PVC;30976;1;"148,9";NULL;0;"148,9";"21,29";"21,29"
1;225693261;1502899595;1502899595;20200804;18;PAP;30976;1;"651,9";NULL;0;"651,9";"55,31";"55,31"
1;225695461;14187598;14187598;20200804;3;ENT;30976;1;"91,9";NULL;0;"91,9";41;41
1;225696093;1504418305;1504418305;20200804;18;ENT;30976;1;"134,9";NULL;0;"134,9";"20,81";"20,81"
1;225700402;1502721290;1502721290;20200804;3;ROT;30976;1;"88,9";NULL;0;"88,9";"19,78";"19,78"
1;225703121;1500494295;1500494295;20200804;7;PAP;30976;1;"520,9";NULL;0;"520,9";"14,55";"14,55"
1;225703322;1500493494;1500493494;20200804;7;IVE;30976;1;"543,9";NULL;0;"543,9";"14,55";"14,55"
1;225703633;13176998;13176998;20200804;3;PNE;30976;1;"145,9";NULL;0;"145,9";"33,74";"33,74"
1;225704361;1504168787;1504168787;20200804;7;PVC;30976;1;"827,9";NULL;0;"827,9";"89,38";"89,38"
1;225704644;11956866;11956866;20200804;7;CAN;30976;2;"61,8";NULL;0;"61,8";18;18
1;225705584;13887920;13887920;20200804;3;CAN;30976;1;"279,9";NULL;0;"279,9";33;33
1;225706854;13887920;13887920;20200804;18;ENT;30976;1;"279,9";NULL;0;"279,9";"23,38";"23,38"
1;225707585;1502899677;1502899677;20200804;7;ETR;30976;1;"229,9";NULL;0;"229,9";"109,38";"109,38"
1;225707599;12562138;12562138;20200804;3;PAP;30976;1;"60,9";NULL;0;"60,9";"69,71";"69,71"
1;225708665;14187579;14187579;20200804;18;ENT;30976;1;"91,9";NULL;0;"91,9";"29,48";"29,48"
1;225724055;1502858070;1502858070;20200804;7;TRN;30976;1;"279,9";NULL;0;"279,9";"33,02";"33,02"
1;225740831;13483796;13483796;20200804;7;ENT;30976;1;"191,9";NULL;0;"191,9";"39,54";"39,54"
1;225751514;14914497;14914497;20200804;3;TRN;30976;1;"1091,9";NULL;0;"1091,9";"265,11";"265,11"
1;225754376;2437761;2437761;20200804;7;ENT;30976;1;"153,9";NULL;0;"153,9";"21,57";"21,57"
1;225756664;7906859;7906859;20200804;7;TRN;30976;1;"139,9";NULL;0;"139,9";"22,94";"22,94"
1;225760051;5815134;5815134;20200804;7;ENT;30976;1;"193,9";NULL;0;"193,9";"25,59";"25,59"
1;225763189;11197722;11197722;20200804;18;ENT;30976;1;"38,9";NULL;0;"38,9";"8,82";"8,82"
1;225768530;1504148430;1504148430;20200804;7;ENT;30976;1;"294,9";NULL;0;"294,9";"16,48";"16,48"
1;225771963;3840597;3840597;20200804;7;CAN;30976;1;"58,9";NULL;0;"58,9";30;30
1;225776348;1500444411;1500444411;20200804;18;TRD;30976;1;"495,9";NULL;0;"495,9";"91,67";"91,67"
1;225785435;12514862;12514862;20200804;7;PAP;30976;1;"385,9";NULL;0;"385,9";"24,74";"24,74"
1;225791276;1504419070;1504419070;20200804;18;PAP;30976;1;"96,9";NULL;0;"96,9";"23,2";"23,2"
1;225795239;13483796;13483796;20200804;7;PVC;30976;1;"191,9";NULL;0;"191,9";75;75
1;225800730;10305913;10305913;20200804;18;PVC;30976;1;"510,9";NULL;0;"510,9";35;35
1;225805505;13483796;13483796;20200804;18;ENT;30976;1;"191,9";NULL;0;"191,9";"78,52";"78,52"
1;225808115;13483796;13483796;20200804;7;ETR;30976;1;"191,9";NULL;0;"191,9";"88,88";"88,88"
1;225810188;12604188;12604188;20200804;7;ETR;30976;1;"43,9";NULL;0;"43,9";"41,48";"41,48"
1;225814011;13873263;13873263;20200804;3;ENT;30976;1;"1528,9";NULL;0;"1528,9";"61,16";"61,16"
1;225817766;1500444407;1500444407;20200804;3;ETR;30976;1;449;NULL;0;449;"87,25";"87,25"
1;225818259;1504196985;1504196985;20200804;18;PAP;30976;1;"219,9";NULL;0;"219,9";"57,83";"57,83"
1;225818455;7906859;7906859;20200804;7;ENT;30976;1;"139,9";NULL;0;"139,9";"22,94";"22,94"
1;225820357;5159565;5159565;20200804;3;TRN;30976;1;259;NULL;0;259;"23,03";"23,03"
1;225820391;12037433;12037433;20200804;7;ENT;30976;1;449;NULL;0;449;"30,9";"30,9"
1;225820894;1504531520;1504531520;20200804;7;PAP;30976;1;"5,7077";NULL;0;"5,7077";"2,6623";"2,6623"
1;225820894;1504531520;1504531520;20200804;7;PAP;30976;1;"68,1923";NULL;0;"68,1923";"31,8077";"31,8077"
1;225823973;1503021715;1503021715;20200804;7;ETR;30976;1;"298,9";NULL;0;"298,9";"88,88";"88,88"
