lojista,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,status_lojista,sku_distinct,sku,porcentagem_indicadores
A&C COMERCIO DO BRASIL LTDA,4,4,2,1,9977.9700,3379.9700,ativo,3,4,0.33874325
ACESSORIOS DA BELEZA,7,7,4,2,1578.5000,1095.8000,ativo,6,7,0.69420336
Acessorios Fotograficos,12,14,11,9,1632.0500,1152.0500,ativo,8,14,0.70589136
Azmax Colchoes,1,1,0,0,2777.1400,0.0000,ativo,1,1,0E-8
CASAIRRIGA,1,2,0,0,60.0000,0.0000,ativo,1,2,0E-8
FINO MOVEIS,3,3,3,3,5336.6200,5336.6200,ativo,3,3,1.00000000
HUNION,24,27,14,13,4980.2900,2625.7800,ativo,18,27,0.52723436
House Cartuchos,18,24,20,15,4049.6600,3317.2000,ativo,8,24,0.81913049
LESSINHA,3,4,4,3,249.4900,249.4900,ativo,3,4,1.00000000
LOJA DONA NEUZA BRINQUEDOS,20,21,14,11,3718.3400,2490.3300,ativo,17,21,0.66974241
Laifo Moto Peças,25,25,12,11,13874.1100,7955.6100,ativo,19,25,0.57341408
MARY HAIR PROFESSIONAL,2,2,1,1,448.4000,219.7000,ativo,2,2,0.48996432
Magazine 24h,7,7,7,6,1249.9200,1249.9200,ativo,5,7,1.00000000
Magazine Londrina,2,2,1,1,720.3600,378.4300,ativo,2,2,0.52533455
Mob Decor,41,43,26,21,34660.0600,22329.7200,ativo,21,43,0.64424932
Monstrão Suplementos,2,4,4,2,565.1500,565.1500,ativo,4,4,1.00000000
PARANA IMPORTS,1,1,1,1,78.5600,78.5600,ativo,1,1,1.00000000
RASA ONE,3,3,3,3,267.5100,267.5100,ativo,3,3,1.00000000
RED GROUP,1,1,1,1,243.5000,243.5000,ativo,1,1,1.00000000
Rádio Classic,116,117,94,92,128008.6200,103024.5700,ativo,11,117,0.80482525
Vidape,24,24,16,13,3629.7000,2511.4000,ativo,9,24,0.69190291
Vídeo Pérola,40,54,51,35,3364.6800,3123.2900,ativo,47,54,0.92825766
ZUZA BRINQUEDOS,1,1,1,1,79.6000,79.6000,ativo,1,1,1.00000000
ARRIVO MOBILE,1,1,1,1,322.0800,322.0800,ativo,1,1,1.00000000
Acer Brasil Loja Oficial,2057,2135,1523,1452,8148878.4600,5709302.3200,ativo,31,2135,0.70062431
Arago Dermocosméticos,7,9,8,5,5861.1000,4190.2000,ativo,4,9,0.71491700
Atlantis Relogios,1,1,1,1,124.0000,124.0000,ativo,1,1,1.00000000
Beauty Store Cosmeticos,5,6,3,2,993.9900,360.3300,ativo,3,6,0.36250868
Cikala,4,5,5,4,1883.1700,1883.1700,inativo,4,5,1.00000000
GARAGEM12,12,13,9,8,1570.2900,1037.1700,ativo,10,13,0.66049583
GIRASOLE MIX,2,2,2,1,481.5400,481.5400,ativo,2,2,1.00000000
Gama Italy,413,423,337,317,69792.4700,53163.4800,ativo,61,423,0.76173662
Interativa Shop,10,14,13,7,1778.5300,1714.4700,ativo,9,14,0.96398149
JS Calçados,3,3,1,0,637.8000,199.7000,ativo,3,3,0.31310756
MICROMEGA,11,11,7,7,24121.5900,8263.4700,ativo,6,11,0.34257568
MMTOYS,1,1,1,1,223.8700,223.8700,ativo,1,1,1.00000000
Magazine Ribeiro,12,12,10,9,1662.4700,1368.6400,ativo,5,12,0.82325696
Pontto Lavabo,67,96,85,51,13855.5700,12956.0100,ativo,54,96,0.93507593
Quality Smart Cel,2,2,2,2,4162.4800,4162.4800,ativo,2,2,1.00000000
Shop DNG,57,67,51,36,4385.1700,3563.7600,ativo,21,67,0.81268457
Starlumen do Brasil,71,176,134,47,17663.2100,14893.9700,ativo,52,176,0.84321989
SóBotas,3,3,2,2,687.6800,428.9100,ativo,3,3,0.62370579
TUTYMIX,1,2,2,1,176.6800,176.6800,ativo,1,2,1.00000000
VIVER VIP COMERCIO E SERVICOS,3,3,3,3,229.1500,229.1500,ativo,2,3,1.00000000
Vale Comp,5,5,4,4,640.8200,534.8300,ativo,4,5,0.83460254
Vestir Intima,2,2,2,2,158.8000,158.8000,ativo,2,2,1.00000000
Zanline,257,284,228,171,32430.6000,26431.0000,ativo,169,284,0.81500188
Potencia Imports,11,13,10,8,2333.6200,2113.9400,ativo,12,13,0.90586299
ACF DIGITAL,11,11,6,6,14653.4800,2710.0800,ativo,3,11,0.18494446
BELÉM PNEUS,14,29,22,10,23922.7900,17927.3300,ativo,14,29,0.74938291
Brasmart,23,30,23,12,3128.0100,2211.8100,ativo,6,30,0.70709812
CV,13,15,13,11,2406.3300,2163.1500,ativo,7,15,0.89894154
Casa Sul,9,11,9,8,1984.1600,1924.9600,ativo,6,11,0.97016370
Dourados Enxovais,198,237,179,130,31549.6800,20922.4700,ativo,106,237,0.66315950
E-commerce dos Móveis,4,5,3,3,6221.0000,5094.0000,ativo,3,5,0.81883941
Foca na Moda,6,6,1,1,1051.1500,57.3900,ativo,4,6,0.05459735
GIGANTE DOS PORTATEIS,39,39,22,21,26090.9400,10880.7200,ativo,23,39,0.41703059
Loja Alcamar,52,54,32,29,66499.8100,23876.9000,ativo,41,54,0.35905215
MINHA CASA SOLAR,7,16,6,3,17747.9200,5564.6900,ativo,6,16,0.31354040
Melhor para Você,14321,14878,9543,8870,17579652.9300,10794184.6400,ativo,275,14878,0.61401580
Metalotec,2,4,2,1,388.4000,194.2000,ativo,3,4,0.50000000
Playmusic Store,4,4,3,3,3371.4600,1650.7600,ativo,4,4,0.48962764
Poma Shop,4,4,2,2,468.7500,251.8500,ativo,3,4,0.53728000
UATT,1,1,1,1,57.5400,57.5400,ativo,1,1,1.00000000
ACABAMENTOS PRA CASA,25,29,22,14,9297.1000,6525.9000,ativo,19,29,0.70192856
ARTE & ESCRITA,24,55,37,13,2089.7900,1505.7400,ativo,40,55,0.72052216
Bretz Saudáveis,2,2,2,2,157.7900,157.7900,ativo,2,2,1.00000000
COLISEU SHOP,55,56,38,33,14957.5400,9596.1600,ativo,12,56,0.64156004
CRIATIVA SHOP,1,1,1,1,928.1000,928.1000,ativo,1,1,1.00000000
Casa geek,8,8,7,6,841.2900,742.4200,ativo,7,8,0.88247810
Compra Rapida Brasil,39,53,40,23,5444.6700,4115.2600,ativo,20,53,0.75583277
Delpa Peças,2,2,0,0,2003.9400,0.0000,ativo,1,2,0E-8
HIPER EQUIPAMENTOS,4,4,3,3,4897.2600,3961.5900,ativo,4,4,0.80894010
Imports Bazar,1,2,2,1,100.4400,100.4400,ativo,2,2,1.00000000
KALLBLACK,2,2,1,1,241.5900,128.3600,ativo,2,2,0.53131338
KATHAVENTO,10,19,7,5,1783.6200,429.7500,ativo,6,19,0.24094258
Keep Strong,14,16,9,8,3311.0000,1725.4000,ativo,7,16,0.52111145
MEGA MAGIC INFORMATICA,1,4,4,1,96.1200,96.1200,ativo,1,4,1.00000000
Moderna Mobília,389,403,264,242,392287.7000,259388.1700,ativo,29,403,0.66121923
Morelli,1,1,1,1,105.4000,105.4000,ativo,1,1,1.00000000
Oxigenio Gel,1,1,1,1,166.4000,166.4000,ativo,1,1,1.00000000
PHISALIA,3,3,3,3,162.5900,162.5900,ativo,2,3,1.00000000
PORTAL DAS UTILIDADES,4,4,4,4,1648.8000,1648.8000,ativo,4,4,1.00000000
Shop Variedades,37,42,27,18,4538.0300,2896.4500,ativo,30,42,0.63826154
TopStoque,3,3,1,1,503.7500,248.3900,ativo,2,3,0.49308189
AASG CONSULTORIA,7,7,7,6,538.5300,538.5300,ativo,1,7,1.00000000
Comtac,8,9,8,5,697.3500,652.0800,ativo,8,9,0.93508281
"DIVAS SHOES, MODA E ACESSORIOS",1,1,1,1,75.0900,75.0900,ativo,1,1,1.00000000
Decoramix,5,5,4,2,1006.9100,884.6800,ativo,5,5,0.87860881
Estação Intima,3,6,6,1,245.3800,245.3800,ativo,4,6,1.00000000
Fitwalk Fitness,2,2,1,1,159.8000,79.9000,ativo,1,2,0.50000000
Horus Filtros,8,19,14,6,901.1900,745.4900,ativo,2,19,0.82722844
LOGIN,214,226,120,101,264301.1700,94667.9700,ativo,57,226,0.35818218
LOJA FENIX,66,75,55,42,14080.3600,8475.5100,ativo,37,75,0.60193844
Lobella joias,4,7,0,0,270.1500,0.0000,ativo,2,7,0E-8
MAF Comercio e Servicos,1,1,1,1,377.0000,377.0000,ativo,1,1,1.00000000
MARMELO DECOR,1,2,2,1,441.5800,441.5800,ativo,2,2,1.00000000
NENEKIDS,10,11,9,8,588.7700,498.2300,ativo,11,11,0.84622178
Outlet Bolsas e Malas,7,7,3,3,909.9900,409.6700,ativo,7,7,0.45019176
PradoBelli,1,1,0,0,584.4000,0.0000,ativo,1,1,0E-8
SAAC SOFTWARE,14,14,8,7,22720.8900,4703.2200,ativo,9,14,0.20699981
ViverCasaeGourmet,214,248,196,150,32278.8000,21468.5900,ativo,90,248,0.66509876
Zambi Moveis Decoracoes,70,82,51,41,39870.8900,25244.5900,ativo,19,82,0.63315843
ACL INFORMATICA,3,3,2,2,773.3800,664.8600,ativo,3,3,0.85968088
BRASTEMP,5117,5235,3584,3360,11348309.6400,7504338.6700,ativo,233,5235,0.66127370
COMERCIAL SÃO PAULO,3,3,3,3,1361.7500,1361.7500,ativo,3,3,1.00000000
Di Jardim,7,8,5,4,1099.8000,572.0000,ativo,3,8,0.52009456
Foca Louca,460,497,361,322,78011.7000,55403.4400,ativo,131,497,0.71019398
Grupo Ribera,52,57,14,14,220944.0200,49346.0000,ativo,10,57,0.22334164
Jpg Importados,3,3,2,2,274.0000,179.7000,ativo,1,3,0.65583942
Kit Livre,1,1,1,1,1715.8000,1715.8000,ativo,1,1,1.00000000
LEMIS,3,16,16,3,366.5200,366.5200,ativo,2,16,1.00000000
LOJA ARMAZEM GEEK,1,1,1,1,103.8300,103.8300,ativo,1,1,1.00000000
Loja AZN,18,19,14,13,3177.1900,2236.6300,ativo,8,19,0.70396482
MUNDO THATA,544,647,460,348,34565.7900,24276.3600,ativo,163,647,0.70232331
Magazine Decor,242,366,238,128,174462.7600,113526.0500,ativo,118,366,0.65071795
Magazine dos Bichos,4,8,2,2,901.0200,481.9500,ativo,6,8,0.53489379
NOVATECNOLOGIA,3,3,1,1,989.3400,207.6900,ativo,2,3,0.20992783
Nutri & Cosmeticos,4,4,1,1,636.0000,159.0000,ativo,1,4,0.25000000
OESTESOM,500,548,324,283,163891.1600,93044.7100,ativo,119,548,0.56772257
OFERTA LU,4,4,4,4,2639.4600,2639.4600,ativo,3,4,1.00000000
SHOP DA ILUMINAÇÃO,14,20,14,6,2685.8600,2021.8800,ativo,8,20,0.75278682
SHOW DE CADEIRAS,20,20,18,17,18398.0000,16370.0000,ativo,7,20,0.88977063
Tamarindos,137,223,152,56,31489.0000,15144.6000,ativo,95,223,0.48094890
Total Luxo,4,4,3,2,565.1900,434.7000,ativo,3,4,0.76912189
ALADIM AUTO PEÇAS,1,1,1,1,285.1000,285.1000,ativo,1,1,1.00000000
BFSELLER28,5523,5523,0,0,110613539.8600,0.0000,ativo,30,5523,0E-8
